Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,GEO_Accession (exp),lab,create_date,version,AGE,sex,sample_type,donor_id,tissue,dev_stage,health_state,source_name,source,biomaterial_provider,cell_organism,datatype_description,datatype,lab_description,Library Name,strain_description,age_description,cell_sex,labversion,strain,cell_description,cell,replicate,labexpid,antibody,control_description,control,controlid,antibody_antibodydescription,antibody_targetdescription,antibody_vendorid,antibody_vendorname,Description,softwareversion,Donor,note,instrument_model (run),biomaterial_type,cell_type,cell_line,treatment_description,treatment,tissue_type,antibody_description,Line,replicate_description,read_name_barcode_proc_directive (run),collection_date,ENCODE_accession,geo_loc_name_country,geo_loc_name_country_continent,geographic_location,treatments,labversion_description,AssemblyName,model_organism_mating_status,softwareversion_description
SRR14305088,ATAC-seq,48,4724712432,PRJNA63471,SAMN18814570,3133167928,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660712,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-27T00:00:00Z,ENCODE biosample ENCBS827KTO,SRP013703,GSM5258384,"Ross Hardison, PennState",2021-04-27T15:13:00Z,1,5-6 week,male,primary cell,ENCDO072AAA,,adult,,,David Bodine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,megakaryocyte,,,,,,,,,,,,,,,,,,
SRR14305089,ATAC-seq,48,1983988368,PRJNA63471,SAMN18814570,709769563,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660712,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-27T00:00:00Z,ENCODE biosample ENCBS827KTO,SRP013703,GSM5258384,"Ross Hardison, PennState",2021-04-27T22:09:00Z,1,5-6 week,male,primary cell,ENCDO072AAA,,adult,,,David Bodine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,megakaryocyte,,,,,,,,,,,,,,,,,,
SRR14305099,ATAC-seq,100,5371806047,PRJNA63471,SAMN04284134,2402549060,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660720,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS745VOM,SRP013703,GSM5258398,"Len Pennacchio, LBNL",2021-04-28T04:55:00Z,1,11.5 day,pooled male and female,tissue,ENCDO956IXV,forebrain,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305100,ATAC-seq,100,5307246868,PRJNA63471,SAMN04284126,2381338037,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660721,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS720JOH,SRP013703,GSM5258399,"Len Pennacchio, LBNL",2021-04-28T05:36:00Z,1,11.5 day,pooled male and female,tissue,ENCDO956IXV,forebrain,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305121,ATAC-seq,50,3735195350,PRJNA63471,SAMN18814518,1314282069,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660740,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS431QXW,SRP013703,GSM5258418,"Ross Hardison, PennState",2021-04-28T09:30:00Z,1,0 day,male,cell line,ENCDO072AAA,,postnatal,,,Unknown Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1E,,,,,,,,,,,,,,,,,
SRR14305122,ATAC-seq,50,3064422700,PRJNA63471,SAMN18814520,1075874153,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660741,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS566SQH,SRP013703,GSM5258419,"Ross Hardison, PennState",2021-04-28T07:08:00Z,1,0 day,male,cell line,ENCDO072AAA,,postnatal,,,Unknown Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1E,,,,,,,,,,,,,,,,,
SRR14305138,ATAC-seq,100,3042803381,PRJNA63471,SAMN04284023,1412397598,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660754,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS183YVD,SRP013703,GSM5258475,"Len Pennacchio, LBNL",2021-04-28T09:18:00Z,1,11.5 day,pooled male and female,tissue,ENCDO956IXV,neural tube,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305139,ATAC-seq,101,5347984801,PRJNA63471,SAMN18814542,2425066699,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660755,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS654KOE,SRP013703,GSM5258476,"Len Pennacchio, LBNL",2021-04-28T03:07:00Z,1,11.5 day,pooled male and female,tissue,ENCDO956IXV,neural tube,embryonic,healthy,,Len Pennacchio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305165,ATAC-seq,100,4960349622,PRJNA63471,SAMN04284183,2188999734,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660779,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-27T00:00:00Z,ENCODE biosample ENCBS924ZKF,SRP013703,GSM5258482,"Len Pennacchio, LBNL",2021-04-27T22:28:00Z,1,15.5 day,pooled male and female,tissue,ENCDO956IXV,kidney,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305166,ATAC-seq,100,4219103503,PRJNA63471,SAMN04284173,1877363600,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660780,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS899UOK,SRP013703,GSM5258483,"Len Pennacchio, LBNL",2021-04-28T07:50:00Z,1,15.5 day,pooled male and female,tissue,ENCDO956IXV,kidney,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305187,ATAC-seq,100,2380554370,PRJNA63471,SAMN05202057,1071323618,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660798,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS047UII,SRP013703,GSM5258507,"Len Pennacchio, LBNL",2021-04-28T09:13:00Z,1,12.5 day,pooled male and female,tissue,ENCDO956IXV,embryonic facial prominence,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305188,ATAC-seq,100,2517188659,PRJNA63471,SAMN05202058,1129525609,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660799,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-27T00:00:00Z,ENCODE biosample ENCBS399GYO,SRP013703,GSM5258508,"Len Pennacchio, LBNL",2021-04-27T15:54:00Z,1,12.5 day,pooled male and female,tissue,ENCDO956IXV,embryonic facial prominence,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305190,ATAC-seq,100,6859535412,PRJNA63471,SAMN04284094,2982655827,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660801,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS522YOW,SRP013703,GSM5258510,"Len Pennacchio, LBNL",2021-04-28T09:33:00Z,1,11.5 day,pooled male and female,tissue,ENCDO956IXV,liver,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305191,ATAC-seq,99,3837427638,PRJNA63471,SAMN18814540,1678601248,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660802,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS598QTR,SRP013703,GSM5258511,"Len Pennacchio, LBNL",2021-04-28T01:11:00Z,1,11.5 day,pooled male and female,tissue,ENCDO956IXV,liver,embryonic,healthy,,Len Pennacchio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305195,ATAC-seq,100,7651354163,PRJNA63471,SAMN18814544,3521385575,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660806,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS019AAA,SRP013703,GSM5258535,"Len Pennacchio, LBNL",2021-04-28T09:40:00Z,1,14.5 day,pooled male and female,tissue,ENCDO469XMJ,liver,embryonic,healthy,,Len Pennacchio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305275,ATAC-seq,50,1297647050,PRJNA63471,SAMN18814587,826415597,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660863,Illumina HiSeq 2500,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS226TAH,SRP013703,GSM5258627,"Barbara Wold, Caltech",2021-04-28T02:41:00Z,1,,not collected,tissue,ENCDO956IXV,cerebellum,adult,,,Barbara Wold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305276,ATAC-seq,50,1295583350,PRJNA63471,SAMN18814587,828577015,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660863,Illumina HiSeq 2500,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS226TAH,SRP013703,GSM5258627,"Barbara Wold, Caltech",2021-04-28T05:38:00Z,1,,not collected,tissue,ENCDO956IXV,cerebellum,adult,,,Barbara Wold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305277,ATAC-seq,100,4089265621,PRJNA63471,SAMN18814545,1781757410,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660864,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS028AAA,SRP013703,GSM5258628,"Len Pennacchio, LBNL",2021-04-28T09:19:00Z,1,14.5 day,pooled male and female,tissue,ENCDO469XMJ,hindbrain,embryonic,healthy,,Len Pennacchio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305278,ATAC-seq,100,6707596739,PRJNA63471,SAMN05202030,2921766497,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660865,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS016AAA,SRP013703,GSM5258629,"Len Pennacchio, LBNL",2021-04-28T09:34:00Z,1,14.5 day,pooled male and female,tissue,ENCDO469XMJ,hindbrain,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305280,ATAC-seq,100,4871217710,PRJNA63471,SAMN05202067,2282813455,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660867,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS479VPX,SRP013703,GSM5258631,"Len Pennacchio, LBNL",2021-04-28T10:08:00Z,1,12.5 day,pooled male and female,tissue,ENCDO956IXV,liver,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305281,ATAC-seq,100,6674644652,PRJNA63471,SAMN05202068,2911484871,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660868,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS236ISK,SRP013703,GSM5258632,"Len Pennacchio, LBNL",2021-04-28T00:21:00Z,1,12.5 day,pooled male and female,tissue,ENCDO956IXV,liver,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305297,ATAC-seq,100,5234924452,PRJNA63471,SAMN05202060,2337574124,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660877,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS617DPG,SRP013703,GSM5258641,"Len Pennacchio, LBNL",2021-04-28T07:45:00Z,1,12.5 day,pooled male and female,tissue,ENCDO956IXV,forebrain,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305298,ATAC-seq,100,4977624034,PRJNA63471,SAMN05202059,2246459867,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660878,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-27T00:00:00Z,ENCODE biosample ENCBS974GPH,SRP013703,GSM5258642,"Len Pennacchio, LBNL",2021-04-27T16:07:00Z,1,12.5 day,pooled male and female,tissue,ENCDO956IXV,forebrain,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305348,ATAC-seq,100,8425088262,PRJNA63471,SAMN04284104,3673734108,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660924,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS556AAA,SRP013703,GSM5258688,"Len Pennacchio, LBNL",2021-04-28T01:49:00Z,1,0 day,pooled male and female,tissue,ENCDO469XMJ,hindbrain,postnatal,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305354,ATAC-seq,48,4163005008,PRJNA63471,SAMN18814557,1669871819,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660930,NextSeq 500,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS048TJM,SRP013703,GSM5258858,"Ross Hardison, PennState",2021-04-28T05:01:00Z,1,5-6 week,not collected,primary cell,ENCDO072AAA,,adult,,,David Bodine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monocyte,,,,,,,,,,,,,,,,,,
SRR14305355,ATAC-seq,48,3688504128,PRJNA63471,SAMN18814554,1471364005,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660931,NextSeq 500,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS022OZN,SRP013703,GSM5258859,"Ross Hardison, PennState",2021-04-28T07:52:00Z,1,5-6 week,not collected,primary cell,ENCDO072AAA,,adult,,,David Bodine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monocyte,,,,,,,,,,,,,,,,,,
SRR14305364,ATAC-seq,100,1577672000,PRJNA63471,SAMN18814552,963600020,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660940,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS435MTJ,SRP013703,GSM5259244,"Christina Leslie, MSKCC",2021-04-28T02:45:00Z,1,4 month,male,primary cell,ENCDO820VCL,,adult,,,Christina Leslie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regulatory T cell,,,,,,,,,,,,,,,,,,
SRR14305365,ATAC-seq,100,4244376065,PRJNA63471,SAMN04284031,1934081732,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660941,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS206NRE,SRP013703,GSM5259296,"Len Pennacchio, LBNL",2021-04-28T02:56:00Z,1,15.5 day,pooled male and female,tissue,ENCDO956IXV,neural tube,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305366,ATAC-seq,100,4795555936,PRJNA63471,SAMN04284187,2209041443,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660942,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS944KEZ,SRP013703,GSM5259297,"Len Pennacchio, LBNL",2021-04-28T06:49:00Z,1,15.5 day,pooled male and female,tissue,ENCDO956IXV,neural tube,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305382,ATAC-seq,100,2740649654,PRJNA63471,SAMN05202047,1233906490,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660952,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-27T00:00:00Z,ENCODE biosample ENCBS018AAA,SRP013703,GSM5258752,"Len Pennacchio, LBNL",2021-04-27T16:52:00Z,1,14.5 day,pooled male and female,tissue,ENCDO469XMJ,lung,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305383,ATAC-seq,100,5109307281,PRJNA63471,SAMN18814546,2219907647,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660953,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS030AAA,SRP013703,GSM5258753,"Len Pennacchio, LBNL",2021-04-28T06:44:00Z,1,14.5 day,pooled male and female,tissue,ENCDO469XMJ,lung,embryonic,healthy,,Len Pennacchio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
