Run	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	cell_type	Center.Name	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	Experiment	GEO_Accession..exp.	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample.Name	source_name	SRA.Study	strain	create_date	version	label	genotype
SRR5799395	ATAC-seq	75	927344400	PRJNA392905	SAMN07312036	362057403	CD4 SP Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978862	GSM2692183	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692183	Thymus	SRP110978	C57BL/6	2017-07-03T11:38:00Z	1	T.4.Th_2	
SRR5799396	ATAC-seq	75	1021876200	PRJNA392905	SAMN07312035	404467786	CD8 SP Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978863	GSM2692184	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692184	Thymus	SRP110978	C57BL/6	2017-07-03T11:39:00Z	1	T.8.Th_1	
SRR5799397	ATAC-seq	75	961866000	PRJNA392905	SAMN07312034	382125525	CD8 SP Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978864	GSM2692185	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692185	Thymus	SRP110978	C57BL/6	2017-07-03T11:37:00Z	1	T.8.Th_2	
SRR5799398	ATAC-seq	75	1261433625	PRJNA392905	SAMN07312033	486947062	CD4 Naive T Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978865	GSM2692186	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692186	Spleen	SRP110978	C57BL/6	2017-07-03T11:39:00Z	1	T.4.Nve.Sp_1	
SRR5799399	ATAC-seq	75	836604225	PRJNA392905	SAMN07312032	328127772	CD4 Naive T Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978866	GSM2692187	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692187	Spleen	SRP110978	C57BL/6	2017-07-03T11:37:00Z	1	T.4.Nve.Sp_2	
SRR5799400	ATAC-seq	75	1065161475	PRJNA392905	SAMN07312031	414436236	CD8 Naive T Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978867	GSM2692188	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692188	Spleen	SRP110978	C57BL/6	2017-07-03T11:40:00Z	1	T.8.Nve.Sp_1	
SRR5799401	ATAC-seq	75	896306025	PRJNA392905	SAMN07312030	348557321	Activated T Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978868	GSM2692189	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692189	Spleen	SRP110978	C57BL/6	2017-07-03T11:38:00Z	1	T.4.aCD3plCD40.18h.Sp_2	
SRR5799402	ATAC-seq	75	1020239325	PRJNA392905	SAMN07312136	400030617	Activated T Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978869	GSM2692190	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692190	Spleen	SRP110978	C57BL/6	2017-07-03T11:39:00Z	1	T.4.aCD3plCD40.18h.Sp_1	
SRR5799403	ATAC-seq	75	902943075	PRJNA392905	SAMN07312135	358260040	CD4 Treg Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978870	GSM2692191	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692191	Colon	SRP110978	C57BL/6	2017-07-03T11:44:00Z	1	Treg.4.FP3pl.Nrplo.Co_1	Foxp3-IRES-GFP
SRR5799404	ATAC-seq	75	704177100	PRJNA392905	SAMN07312134	281074602	CD4 Treg Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978871	GSM2692192	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692192	Colon	SRP110978	C57BL/6	2017-07-03T11:41:00Z	1	Treg.4.FP3pl.Nrplo.Co_2	Foxp3-IRES-GFP
SRR5799405	ATAC-seq	75	1028587425	PRJNA392905	SAMN07312133	397843891	Neutrophil	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978872	GSM2692193	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692193	Bone marrow	SRP110978	C57BL/6	2017-07-03T11:27:00Z	1	GN.BM_1	
SRR5799406	ATAC-seq	75	908324925	PRJNA392905	SAMN07312132	352492704	Neutrophil	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978873	GSM2692194	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692194	Bone marrow	SRP110978	C57BL/6	2017-07-03T11:27:00Z	1	GN.BM_2	
SRR5799407	ATAC-seq	75	896034600	PRJNA392905	SAMN07312131	348596423	Neutrophil	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978874	GSM2692195	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692195	Spleen	SRP110978	C57BL/6	2017-07-03T11:26:00Z	1	GN.Sp_1	
SRR5799408	ATAC-seq	75	865288350	PRJNA392905	SAMN07312130	336787667	Neutrophil	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978875	GSM2692196	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692196	Spleen	SRP110978	C57BL/6	2017-07-03T11:27:00Z	1	GN.Sp_2	
SRR5799409	ATAC-seq	75	1036294500	PRJNA392905	SAMN07312129	400157275	Neutrophil	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978876	GSM2692197	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692197	Peritoneal cavity	SRP110978	C57BL/6	2017-07-03T11:27:00Z	1	GN.Thio.PC_1	
SRR5799410	ATAC-seq	75	797377950	PRJNA392905	SAMN07312128	314679429	NK Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978877	GSM2692198	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692198	Spleen	SRP110978	C57BL/6	2017-07-03T11:35:00Z	1	NK.27mi11bpl.Sp_1	
SRR5799411	ATAC-seq	75	795776400	PRJNA392905	SAMN07312127	318082836	NK Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978878	GSM2692199	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692199	Spleen	SRP110978	C57BL/6	2017-07-03T11:35:00Z	1	NK.27mi11bpl.Sp_2	
SRR5799412	ATAC-seq	75	724894500	PRJNA392905	SAMN07312126	292478170	NK Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978879	GSM2692200	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692200	Spleen	SRP110978	C57BL/6	2017-07-03T11:34:00Z	1	NK.27pl11bpl.Sp_1	
SRR5799413	ATAC-seq	75	763699425	PRJNA392905	SAMN07312125	305840305	NK Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978880	GSM2692201	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692201	Spleen	SRP110978	C57BL/6	2017-07-03T11:34:00Z	1	NK.27pl11bpl.Sp_2	
SRR5799414	ATAC-seq	75	801755625	PRJNA392905	SAMN07312124	322109923	NK Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978881	GSM2692202	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692202	Spleen	SRP110978	C57BL/6	2017-07-03T11:34:00Z	1	NK.27pl11bmi.Sp_1	
SRR5799415	ATAC-seq	75	742398975	PRJNA392905	SAMN07312123	297659097	NK Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978882	GSM2692203	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692203	Spleen	SRP110978	C57BL/6	2017-07-03T11:34:00Z	1	NK.27pl11bmi.Sp_2	
SRR5799416	ATAC-seq	75	770021550	PRJNA392905	SAMN07312075	307739528	NK Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978883	GSM2692204	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692204	Bone marrow	SRP110978	C57BL/6	2017-07-03T11:35:00Z	1	NK.27mi11bpl.BM_1	
SRR5799417	ATAC-seq	75	869974650	PRJNA392905	SAMN07312074	343675167	NK Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978884	GSM2692205	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692205	Bone marrow	SRP110978	C57BL/6	2017-07-03T11:34:00Z	1	NK.27mi11bpl.BM_2	
SRR5799418	ATAC-seq	75	705035625	PRJNA392905	SAMN07312073	283608646	NK Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978885	GSM2692206	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692206	Bone marrow	SRP110978	C57BL/6	2017-07-03T11:33:00Z	1	NK.27pl11bpl.BM_1	
SRR5799419	ATAC-seq	75	748480350	PRJNA392905	SAMN07312072	298938752	NK Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978886	GSM2692207	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692207	Bone marrow	SRP110978	C57BL/6	2017-07-03T11:33:00Z	1	NK.27pl11bpl.BM_2	
SRR5799420	ATAC-seq	75	791665950	PRJNA392905	SAMN07312071	315949147	NK Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978887	GSM2692208	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692208	Bone marrow	SRP110978	C57BL/6	2017-07-03T11:34:00Z	1	NK.27pl11bmi.BM_1	
SRR5799421	ATAC-seq	75	619441050	PRJNA392905	SAMN07312070	248179699	NK Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978888	GSM2692209	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692209	Bone marrow	SRP110978	C57BL/6	2017-07-03T11:33:00Z	1	NK.27pl11bmi.BM_2	
SRR5799422	ATAC-seq	75	902795250	PRJNA392905	SAMN07312063	351779481	gdT Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978889	GSM2692210	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692210	Thymus	SRP110978	C57BL/6	2017-07-03T11:42:00Z	1	Tgd.g2pld17.24apl.Th_1	
SRR5799423	ATAC-seq	75	787536750	PRJNA392905	SAMN07312069	307980866	gdT Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978890	GSM2692211	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692211	Thymus	SRP110978	C57BL/6	2017-07-03T11:44:00Z	1	Tgd.g2pld17.24apl.Th_2	
SRR5799424	ATAC-seq	75	968120325	PRJNA392905	SAMN07312068	372582610	gdT Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978891	GSM2692212	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692212	Thymus	SRP110978	C57BL/6	2017-07-03T11:41:00Z	1	Tgd.g2pld1.24apl.Th_1	
SRR5799425	ATAC-seq	75	995655975	PRJNA392905	SAMN07312067	378534945	gdT Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978892	GSM2692213	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692213	Thymus	SRP110978	C57BL/6	2017-07-03T11:41:00Z	1	Tgd.g2pld1.24apl.Th_2	
SRR5799426	ATAC-seq	75	996022200	PRJNA392905	SAMN07312066	404330222	gdT Cell	GEO	public	fastq,run.zq	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978893	GSM2692214	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692214	Thymus	SRP110978	C57BL/6		NA	Tgd.g1.1pld1.24apl.Th_1	
SRR5799427	ATAC-seq	75	696328800	PRJNA392905	SAMN07312065	276218062	gdT Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978894	GSM2692215	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692215	Thymus	SRP110978	C57BL/6	2017-07-03T11:39:00Z	1	Tgd.g1.1pld1.24apl.Th_2	
SRR5799428	ATAC-seq	75	784254900	PRJNA392905	SAMN07312064	310860246	gdT Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978895	GSM2692216	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692216	Lymph nodes	SRP110978	C57BL/6	2017-07-03T11:40:00Z	1	Tgd.g2pld17.LN_1	
SRR5799429	ATAC-seq	75	1020520725	PRJNA392905	SAMN07312062	385085491	gdT Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978896	GSM2692217	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692217	Lymph nodes	SRP110978	C57BL/6	2017-07-03T11:45:00Z	1	Tgd.g2pld17.LN_2	
SRR5799430	ATAC-seq	75	875204100	PRJNA392905	SAMN07312061	338989745	gdT Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978897	GSM2692218	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692218	Lymph nodes	SRP110978	C57BL/6	2017-07-03T11:41:00Z	1	Tgd.g2pld1.LN_1	
SRR5799431	ATAC-seq	75	828572250	PRJNA392905	SAMN07312060	320460777	gdT Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978898	GSM2692219	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692219	Lymph nodes	SRP110978	C57BL/6	2017-07-03T11:42:00Z	1	Tgd.g2pld1.LN_2	
SRR5799432	ATAC-seq	75	860922975	PRJNA392905	SAMN07312059	336216570	gdT Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978899	GSM2692220	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692220	Lymph nodes	SRP110978	C57BL/6	2017-07-03T11:39:00Z	1	Tgd.g1.1pld1.LN_1	
SRR5799433	ATAC-seq	75	922663725	PRJNA392905	SAMN07312058	349305247	gdT Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978900	GSM2692221	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692221	Lymph nodes	SRP110978	C57BL/6	2017-07-03T11:41:00Z	1	Tgd.g1.1pld1.LN_2	
SRR5799434	ATAC-seq	75	1056330975	PRJNA392905	SAMN07312057	425382288	CD8 T Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978901	GSM2692222	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692222	Spleen	SRP110978	C57BL/6	2017-07-03T11:44:00Z	1	T8.TN.P14.Sp_1	
SRR5799435	ATAC-seq	75	767866125	PRJNA392905	SAMN07312056	310878937	CD8 T Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978902	GSM2692223	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692223	Spleen	SRP110978	C57BL/6	2017-07-03T11:39:00Z	1	T8.TN.P14.Sp_2	
SRR5799436	ATAC-seq	75	1313080050	PRJNA392905	SAMN07312055	514893064	CD8 T Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978903	GSM2692224	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692224	Spleen	SRP110978	C57BL/6	2017-07-03T11:42:00Z	1	T8.TE.LCMV.d7.Sp_1	
SRR5799437	ATAC-seq	75	897695025	PRJNA392905	SAMN07312054	355551515	CD8 T Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978904	GSM2692225	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692225	Spleen	SRP110978	C57BL/6	2017-07-03T11:40:00Z	1	T8.TE.LCMV.d7.Sp_2	
SRR5799438	ATAC-seq	75	1191068550	PRJNA392905	SAMN07312053	469077487	CD8 T Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978905	GSM2692226	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692226	Spleen	SRP110978	C57BL/6	2017-07-03T11:41:00Z	1	T8.MP.LCMV.d7.Sp_1	
SRR5799439	ATAC-seq	75	704924550	PRJNA392905	SAMN07312052	279270564	CD8 T Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978906	GSM2692227	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692227	Spleen	SRP110978	C57BL/6	2017-07-03T11:38:00Z	1	T8.MP.LCMV.d7.Sp_2	
SRR5799440	ATAC-seq	75	640624275	PRJNA392905	SAMN07312051	257032881	CD8 T Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978907	GSM2692228	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692228	Spleen	SRP110978	C57BL/6	2017-07-03T11:38:00Z	1	T8.Tcm.LCMV.d180.Sp_1	
