motif_id	cluster
GSC(Homeobox)/FrogEmbryos-GSC-ChIP-Seq(DRA000576)	53
Gata1(Zf)/K562-GATA1-ChIP-Seq(GSE18829)	66
Gata2(Zf)/K562-GATA2-ChIP-Seq(GSE18829)	66
Gata4(Zf)/Heart-Gata4-ChIP-Seq(GSE35151)	66
Gata6(Zf)/HUG1N-GATA6-ChIP-Seq(GSE51936)	66
Gfi1b(Zf)/HPC7-Gfi1b-ChIP-Seq(GSE22178)	55
Gli2(Zf)/GM2-Gli2-ChIP-Chip(GSE112702)	106
HEB(bHLH)/mES-Heb-ChIP-Seq(GSE53233)	7
HIC1(Zf)/Treg-ZBTB29-ChIP-Seq(GSE99889)	82
HIF-1a(bHLH)/MCF7-HIF1a-ChIP-Seq(GSE28352)	2
HIF-1b(HLH)/T47D-HIF1b-ChIP-Seq(GSE59937)	2
HIF2a(bHLH)/785_O-HIF2a-ChIP-Seq(GSE34871)	2
HINFP(Zf)/K562-HINFP.eGFP-ChIP-Seq(Encode)	89
HLF(bZIP)/HSC-HLF.Flag-ChIP-Seq(GSE69817)	121
HNF1b(Homeobox)/PDAC-HNF1B-ChIP-Seq(GSE64557)	58
HNF4a(NR),DR1/HepG2-HNF4a-ChIP-Seq(GSE25021)	14
HNF6(Homeobox)/Liver-Hnf6-ChIP-Seq(ERP000394)	40
HOXA1(Homeobox)/mES-Hoxa1-ChIP-Seq(SRP084292)	42
HOXA2(Homeobox)/mES-Hoxa2-ChIP-Seq(Donaldson_et_al.)	42
HOXB13(Homeobox)/ProstateTumor-HOXB13-ChIP-Seq(GSE56288)	43
HRE(HSF)/HepG2-HSF1-ChIP-Seq(GSE31477)	26
HRE(HSF)/Striatum-HSF1-ChIP-Seq(GSE38000)	26
Hand2(bHLH)/Mesoderm-Hand2-ChIP-Seq(GSE61475)	4
Hnf1(Homeobox)/Liver-Foxa2-Chip-Seq(GSE25694)	58
Hnf6b(Homeobox)/LNCaP-Hnf6b-ChIP-Seq(GSE106305)	40
Hoxa10(Homeobox)/ChickenMSG-Hoxa10.Flag-ChIP-Seq(GSE86088)	43
Hoxa11(Homeobox)/ChickenMSG-Hoxa11.Flag-ChIP-Seq(GSE86088)	43
Hoxa13(Homeobox)/ChickenMSG-Hoxa13.Flag-ChIP-Seq(GSE86088)	43
Hoxa9(Homeobox)/ChickenMSG-Hoxa9.Flag-ChIP-Seq(GSE86088)	43
Hoxb4(Homeobox)/ES-Hoxb4-ChIP-Seq(GSE34014)	42
Hoxc9(Homeobox)/Ainv15-Hoxc9-ChIP-Seq(GSE21812)	42
Hoxd10(Homeobox)/ChickenMSG-Hoxd10.Flag-ChIP-Seq(GSE86088)	43
Hoxd11(Homeobox)/ChickenMSG-Hoxd11.Flag-ChIP-Seq(GSE86088)	43
Hoxd12(Homeobox)/ChickenMSG-Hoxd12.Flag-ChIP-Seq(GSE86088)	43
Hoxd13(Homeobox)/ChickenMSG-Hoxd13.Flag-ChIP-Seq(GSE86088)	43
IRF1(IRF)/PBMC-IRF1-ChIP-Seq(GSE43036)	36
IRF2(IRF)/Erythroblas-IRF2-ChIP-Seq(GSE36985)	36
IRF3(IRF)/BMDM-Irf3-ChIP-Seq(GSE67343)	36
IRF4(IRF)/GM12878-IRF4-ChIP-Seq(GSE32465)	37
IRF8(IRF)/BMDM-IRF8-ChIP-Seq(GSE77884)	36
IRF:BATF(IRF:bZIP)/pDC-Irf8-ChIP-Seq(GSE66899)	37
ISRE(IRF)/ThioMac-LPS-Expression(GSE23622)	36
Isl1(Homeobox)/Neuron-Isl1-ChIP-Seq(GSE31456)	50
Jun-AP1(bZIP)/K562-cJun-ChIP-Seq(GSE31477)	62
JunB(bZIP)/DendriticCells-Junb-ChIP-Seq(GSE36099)	62
JunD(bZIP)/K562-JunD-ChIP-Seq	124
KLF1(Zf)/HUDEP2-KLF1-CutnRun(GSE136251)	131
KLF10(Zf)/HEK293-KLF10.GFP-ChIP-Seq(GSE58341)	131
KLF14(Zf)/HEK293-KLF14.GFP-ChIP-Seq(GSE58341)	131
KLF3(Zf)/MEF-Klf3-ChIP-Seq(GSE44748)	131
KLF5(Zf)/LoVo-KLF5-ChIP-Seq(GSE49402)	131
KLF6(Zf)/PDAC-KLF6-ChIP-Seq(GSE64557)	131
Klf4(Zf)/mES-Klf4-ChIP-Seq(GSE11431)	131
Klf9(Zf)/GBM-Klf9-ChIP-Seq(GSE62211)	131
LEF1(HMG)/H1-LEF1-ChIP-Seq(GSE64758)	119
LHX9(Homeobox)/Hct116-LHX9.V5-ChIP-Seq(GSE116822)	51
LRF(Zf)/Erythroblasts-ZBTB7A-ChIP-Seq(GSE74977)	73
LXRE(NR),DR4/RAW-LXRb.biotin-ChIP-Seq(GSE21512)	16
Lhx1(Homeobox)/EmbryoCarcinoma-Lhx1-ChIP-Seq(GSE70957)	51
Lhx2(Homeobox)/HFSC-Lhx2-ChIP-Seq(GSE48068)	51
Lhx3(Homeobox)/Neuron-Lhx3-ChIP-Seq(GSE31456)	51
MITF(bHLH)/MastCells-MITF-ChIP-Seq(GSE48085)	1
MNT(bHLH)/HepG2-MNT-ChIP-Seq(Encode)	1
MYB(HTH)/ERMYB-Myb-ChIPSeq(GSE22095)	96
MYNN(Zf)/HEK293-MYNN.eGFP-ChIP-Seq(Encode)	45
MafA(bZIP)/Islet-MafA-ChIP-Seq(GSE30298)	61
MafB(bZIP)/BMM-Mafb-ChIP-Seq(GSE75722)	62
MafF(bZIP)/HepG2-MafF-ChIP-Seq(GSE31477)	61
MafK(bZIP)/C2C12-MafK-ChIP-Seq(GSE36030)	62
Max(bHLH)/K562-Max-ChIP-Seq(GSE31477)	1
Maz(Zf)/HepG2-Maz-ChIP-Seq(GSE31477)	129
Mef2a(MADS)/HL1-Mef2a.biotin-ChIP-Seq(GSE21529)	47
Mef2b(MADS)/HEK293-Mef2b.V5-ChIP-Seq(GSE67450)	47
Mef2c(MADS)/GM12878-Mef2c-ChIP-Seq(GSE32465)	47
Mef2d(MADS)/Retina-Mef2d-ChIP-Seq(GSE61391)	47
Meis1(Homeobox)/MastCells-Meis1-ChIP-Seq(GSE48085)	125
Mouse_Recombination_Hotspot(Zf)/Testis-DMC1-ChIP-Seq(GSE24438)	71
Myf5(bHLH)/GM-Myf5-ChIP-Seq(GSE24852)	8
MyoD(bHLH)/Myotube-MyoD-ChIP-Seq(GSE21614)	8
MyoG(bHLH)/C2C12-MyoG-ChIP-Seq(GSE36024)	8
NF-E2(bZIP)/K562-NFE2-ChIP-Seq(GSE31477)	62
NF1(CTF)/LNCAP-NF1-ChIP-Seq(Unpublished)	81
NF1-halfsite(CTF)/LNCaP-NF1-ChIP-Seq(Unpublished)	82
NF1:FOXA1(CTF,Forkhead)/LNCAP-FOXA1-ChIP-Seq(GSE27824)	116
NFAT(RHD)/Jurkat-NFATC1-ChIP-Seq(Jolma_et_al.)	38
NFAT:AP1(RHD,bZIP)/Jurkat-NFATC1-ChIP-Seq(Jolma_et_al.)	38
NFE2L2(bZIP)/HepG2-NFE2L2-ChIP-Seq(Encode)	62
NFIL3(bZIP)/HepG2-NFIL3-ChIP-Seq(Encode)	121
NFY(CCAAT)/Promoter	52
NFkB-p50,p52(RHD)/Monocyte-p50-ChIP-Chip(Schreiber_et_al.)	30
NFkB-p65(RHD)/GM12787-p65-ChIP-Seq(GSE19485)	30
NFkB-p65-Rel(RHD)/ThioMac-LPS-Expression(GSE23622)	30
NPAS(bHLH)/Liver-NPAS-ChIP-Seq(GSE39860)	1
NPAS2(bHLH)/Liver-NPAS2-ChIP-Seq(GSE39860)	1
NRF(NRF)/Promoter	86
NRF1(NRF)/MCF7-NRF1-ChIP-Seq(Unpublished)	86
Nanog(Homeobox)/mES-Nanog-ChIP-Seq(GSE11724)	50
NeuroD1(bHLH)/Islet-NeuroD1-ChIP-Seq(GSE30298)	8
NeuroG2(bHLH)/Fibroblast-NeuroG2-ChIP-Seq(GSE75910)	8
Nkx2.1(Homeobox)/LungAC-Nkx2.1-ChIP-Seq(GSE43252)	44
Nkx2.2(Homeobox)/NPC-Nkx2.2-ChIP-Seq(GSE61673)	44
Nkx2.5(Homeobox)/HL1-Nkx2.5.biotin-ChIP-Seq(GSE21529)	44
Nkx3.1(Homeobox)/LNCaP-Nkx3.1-ChIP-Seq(GSE28264)	44
Nkx6.1(Homeobox)/Islet-Nkx6.1-ChIP-Seq(GSE40975)	51
Npas4(bHLH)/Neuron-Npas4-ChIP-Seq(GSE127793)	3
Nr5a2(NR)/Pancreas-LRH1-ChIP-Seq(GSE34295)	15
Nr5a2(NR)/mES-Nr5a2-ChIP-Seq(GSE19019)	15
Nrf2(bZIP)/Lymphoblast-Nrf2-ChIP-Seq(GSE37589)	62
Nur77(NR)/K562-NR4A1-ChIP-Seq(GSE31363)	15
OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)/mES-Oct4-ChIP-Seq(GSE11431)	56
OCT:OCT(POU,Homeobox)/NPC-Brn1-ChIP-Seq(GSE35496)	60
OCT:OCT(POU,Homeobox)/NPC-OCT6-ChIP-Seq(GSE43916)	60
OCT:OCT(POU,Homeobox,IR1)/NPC-Brn2-ChIP-Seq(GSE35496)	59
OCT:OCT-short(POU,Homeobox)/NPC-OCT6-ChIP-Seq(GSE43916)	59
Oct11(POU,Homeobox)/NCIH1048-POU2F3-ChIP-seq(GSE115123)	56
Oct2(POU,Homeobox)/Bcell-Oct2-ChIP-Seq(GSE21512)	56
Oct4(POU,Homeobox)/mES-Oct4-ChIP-Seq(GSE11431)	56
Oct4:Sox17(POU,Homeobox,HMG)/F9-Sox17-ChIP-Seq(GSE44553)	118
Oct6(POU,Homeobox)/NPC-Pou3f1-ChIP-Seq(GSE35496)	56
Olig2(bHLH)/Neuron-Olig2-ChIP-Seq(GSE30882)	8
Otx2(Homeobox)/EpiLC-Otx2-ChIP-Seq(GSE56098)	53
PAX3:FKHR-fusion(Paired,Homeobox)/Rh4-PAX3:FKHR-ChIP-Seq(GSE19063)	64
PAX5(Paired,Homeobox),condensed/GM12878-PAX5-ChIP-Seq(GSE32465)	65
PAX5(Paired,Homeobox)/GM12878-PAX5-ChIP-Seq(GSE32465)	63
PAX6(Paired,Homeobox)/Forebrain-Pax6-ChIP-Seq(GSE66961)	63
PBX1(Homeobox)/MCF7-PBX1-ChIP-Seq(GSE28007)	41
PBX2(Homeobox)/K562-PBX2-ChIP-Seq(Encode)	42
PGR(NR)/EndoStromal-PGR-ChIP-Seq(GSE69539)	22
PPARE(NR),DR1/3T3L1-Pparg-ChIP-Seq(GSE13511)	14
PPARa(NR),DR1/Liver-Ppara-ChIP-Seq(GSE47954)	14
PR(NR)/T47D-PR-ChIP-Seq(GSE31130)	22
PRDM1(Zf)/Hela-PRDM1-ChIP-Seq(GSE31477)	36
PRDM10(Zf)/HEK293-PRDM10.eGFP-ChIP-Seq(Encode)	32
PRDM14(Zf)/H1-PRDM14-ChIP-Seq(GSE22767)	87
PRDM15(Zf)/ESC-Prdm15-ChIP-Seq(GSE73694)	39
PRDM9(Zf)/Testis-DMC1-ChIP-Seq(GSE35498)	76
PSE(SNAPc)/K562-mStart-Seq	72
PU.1(ETS)/ThioMac-PU.1-ChIP-Seq(GSE21512)	33
PU.1-IRF(ETS:IRF)/Bcell-PU.1-ChIP-Seq(GSE21512)	36
PU.1:IRF8(ETS:IRF)/pDC-Irf8-ChIP-Seq(GSE66899)	36
Pax7(Paired,Homeobox),long/Myoblast-Pax7-ChIP-Seq(GSE25064)	49
Pax7(Paired,Homeobox),longest/Myoblast-Pax7-ChIP-Seq(GSE25064)	51
Pax7(Paired,Homeobox)/Myoblast-Pax7-ChIP-Seq(GSE25064)	40
Pax8(Paired,Homeobox)/Thyroid-Pax8-ChIP-Seq(GSE26938)	63
Pbx3(Homeobox)/GM12878-PBX3-ChIP-Seq(GSE32465)	41
Pdx1(Homeobox)/Islet-Pdx1-ChIP-Seq(SRA008281)	42
Phox2a(Homeobox)/Neuron-Phox2a-ChIP-Seq(GSE31456)	49
Phox2b(Homeobox)/CLBGA-PHOX2B-ChIP-Seq(GSE90683)	49
Pit1(Homeobox)/GCrat-Pit1-ChIP-Seq(GSE58009)	60
Pit1+1bp(Homeobox)/GCrat-Pit1-ChIP-Seq(GSE58009)	59
Pitx1(Homeobox)/Chicken-Pitx1-ChIP-Seq(GSE38910)	53
Pitx1:Ebox(Homeobox,bHLH)/Hindlimb-Pitx1-ChIP-Seq(GSE41591)	7
Pknox1(Homeobox)/ES-Prep1-ChIP-Seq(GSE63282)	41
Prop1(Homeobox)/GHFT1-PROP1.biotin-ChIP-Seq(GSE77302)	49
Ptf1a(bHLH)/Panc1-Ptf1a-ChIP-Seq(GSE47459)	8
RAR:RXR(NR),DR0/ES-RAR-ChIP-Seq(GSE56893)	15
RAR:RXR(NR),DR5/ES-RAR-ChIP-Seq(GSE56893)	15
RARa(NR)/K562-RARa-ChIP-Seq(Encode)	15
RARg(NR)/ES-RARg-ChIP-Seq(GSE30538)	15
RBPJ:Ebox(?,bHLH)/Panc1-Rbpj1-ChIP-Seq(GSE47459)	8
REST-NRSF(Zf)/Jurkat-NRSF-ChIP-Seq	95
RFX(HTH)/K562-RFX3-ChIP-Seq(SRA012198)	28
RORa(NR)/Liver-Rora-ChIP-Seq(GSE101115)	11
RORg(NR)/Liver-Rorc-ChIP-Seq(GSE101115)	11
RORgt(NR)/EL4-RORgt.Flag-ChIP-Seq(GSE56019)	11
RUNX(Runt)/HPC7-Runx1-ChIP-Seq(GSE22178)	79
RUNX-AML(Runt)/CD4+-PolII-ChIP-Seq(Barski_et_al.)	79
RUNX1(Runt)/Jurkat-RUNX1-ChIP-Seq(GSE29180)	79
RUNX2(Runt)/PCa-RUNX2-ChIP-Seq(GSE33889)	79
RXR(NR),DR1/3T3L1-RXR-ChIP-Seq(GSE13511)	14
Rbpj1(?)/Panc1-Rbpj1-ChIP-Seq(GSE47459)	108
Reverb(NR),DR2/RAW-Reverba.biotin-ChIP-Seq(GSE45914)	12
Rfx1(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)	28
Rfx2(HTH)/LoVo-RFX2-ChIP-Seq(GSE49402)	28
Rfx5(HTH)/GM12878-Rfx5-ChIP-Seq(GSE31477)	29
Rfx6(HTH)/Min6b1-Rfx6.HA-ChIP-Seq(GSE62844)	29
Ronin(THAP)/ES-Thap11-ChIP-Seq(GSE51522)	108
SCL(bHLH)/HPC7-Scl-ChIP-Seq(GSE13511)	7
SCRT1(Zf)/HEK293-SCRT1.eGFP-ChIP-Seq(Encode)	6
SF1(NR)/H295R-Nr5a1-ChIP-Seq(GSE44220)	9
SPDEF(ETS)/VCaP-SPDEF-ChIP-Seq(SRA014231)	33
STAT1(Stat)/HelaS3-STAT1-ChIP-Seq(GSE12782)	25
STAT4(Stat)/CD4-Stat4-ChIP-Seq(GSE22104)	25
STAT5(Stat)/mCD4+-Stat5-ChIP-Seq(GSE12346)	25
STAT6(Stat)/CD4-Stat6-ChIP-Seq(GSE22104)	24
STAT6(Stat)/Macrophage-Stat6-ChIP-Seq(GSE38377)	24
Six1(Homeobox)/Myoblast-Six1-ChIP-Chip(GSE20150)	80
Six2(Homeobox)/NephronProgenitor-Six2-ChIP-Seq(GSE39837)	80
Six4(Homeobox)/MCF7-SIX4-ChIP-Seq(Encode)	80
Slug(Zf)/Mesoderm-Snai2-ChIP-Seq(GSE61475)	6
Smad2(MAD)/ES-SMAD2-ChIP-Seq(GSE29422)	97
Smad3(MAD)/NPC-Smad3-ChIP-Seq(GSE36673)	97
Smad4(MAD)/ESC-SMAD4-ChIP-Seq(GSE29422)	97
Snail1(Zf)/LS174T-SNAIL1.HA-ChIP-Seq(GSE127183)	6
Sox10(HMG)/SciaticNerve-Sox3-ChIP-Seq(GSE35132)	118
Sox15(HMG)/CPA-Sox15-ChIP-Seq(GSE62909)	118
Sox17(HMG)/Endoderm-Sox17-ChIP-Seq(GSE61475)	118
Sox2(HMG)/mES-Sox2-ChIP-Seq(GSE11431)	118
Sox21(HMG)/ESC-SOX21-ChIP-Seq(GSE110505)	118
Sox3(HMG)/NPC-Sox3-ChIP-Seq(GSE33059)	118
Sox4(HMG)/proB-Sox4-ChIP-Seq(GSE50066)	118
Sox6(HMG)/Myotubes-Sox6-ChIP-Seq(GSE32627)	118
Sox7(HMG)/ESC-Sox7-ChIP-Seq(GSE133899)	118
Sox9(HMG)/Limb-SOX9-ChIP-Seq(GSE73225)	118
Sp1(Zf)/Promoter	131
Sp2(Zf)/HEK293-Sp2.eGFP-ChIP-Seq(Encode)	131
Sp5(Zf)/mES-Sp5.Flag-ChIP-Seq(GSE72989)	131
SpiB(ETS)/OCILY3-SPIB-ChIP-Seq(GSE56857)	33
Srebp1a(bHLH)/HepG2-Srebp1a-ChIP-Seq(GSE31477)	84
Srebp2(bHLH)/HepG2-Srebp2-ChIP-Seq(GSE31477)	84
Stat3(Stat)/mES-Stat3-ChIP-Seq(GSE11431)	25
Stat3+il21(Stat)/CD4-Stat3-ChIP-Seq(GSE19198)	25
T1ISRE(IRF)/ThioMac-Ifnb-Expression	36
TATA-Box(TBP)/Promoter	48
TCF4(bHLH)/SHSY5Y-TCF4-ChIP-Seq(GSE96915)	8
