#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
chr11	23168561	23168908	chr11:23168561-23168908	.	.	23168561	23168908	0	1	347	23168559	1
chr6	82909608	82909828	chr6:82909608-82909828	.	.	82909608	82909828	0	1	220	82909600	1
chr9	61882208	61882495	chr9:61882208-61882495	.	.	61882208	61882495	0	1	287	61882202	1
chr13	63394432	63394699	chr13:63394432-63394699	.	.	63394432	63394699	0	1	267	63394426	1
chr5	91219652	91219832	chr5:91219652-91219832	.	.	91219652	91219832	0	1	180	91219643	1
chr10	25052084	25052374	chr10:25052084-25052374	.	.	25052084	25052374	0	1	290	25052082	1
chr8	88783785	88784138	chr8:88783785-88784138	.	.	88783785	88784138	0	1	353	88783777	1
chr12	54120511	54120988	chr12:54120511-54120988	.	.	54120511	54120988	0	1	477	54120506	1
chr3	28183102	28183383	chr3:28183102-28183383	.	.	28183102	28183383	0	1	281	28183100	1
chr4	9520802	9521162	chr4:9520802-9521162	.	.	9520802	9521162	0	1	360	9520793	1
chr16	29930439	29930748	chr16:29930439-29930748	.	.	29930439	29930748	0	1	309	29930437	1
chr3	85861007	85861362	chr3:85861007-85861362	.	.	85861007	85861362	0	1	355	85860999	1
chr7	132873099	132873418	chr7:132873099-132873418	.	.	132873099	132873418	0	1	319	132873098	1
chr7	140918027	140918361	chr7:140918027-140918361	.	.	140918027	140918361	0	1	334	140918026	1
chr7	25678082	25678400	chr7:25678082-25678400	.	.	25678082	25678400	0	1	318	25678080	1
chr14	58451912	58452284	chr14:58451912-58452284	.	.	58451912	58452284	0	1	372	58451907	1
chr17	43261990	43262346	chr17:43261990-43262346	.	.	43261990	43262346	0	1	356	43261986	1
chr6	83891339	83891538	chr6:83891339-83891538	.	.	83891339	83891538	0	1	199	83891331	1
chr6	72758339	72758554	chr6:72758339-72758554	.	.	72758339	72758554	0	1	215	72758332	1
chr9	83248340	83248669	chr9:83248340-83248669	.	.	83248340	83248669	0	1	329	83248332	1
chr3	124806946	124807280	chr3:124806946-124807280	.	.	124806946	124807280	0	1	334	124806945	1
chr5	75480274	75480617	chr5:75480274-75480617	.	.	75480274	75480617	0	1	343	75480267	1
chr18	77059978	77060303	chr18:77059978-77060303	.	.	77059978	77060303	0	1	325	77059971	1
chr8	107578234	107578481	chr8:107578234-107578481	.	.	107578234	107578481	0	1	247	107578233	1
chr16	79878091	79878383	chr16:79878091-79878383	.	.	79878091	79878383	0	1	292	79878084	1
chr2	168113614	168113917	chr2:168113614-168113917	.	.	168113614	168113917	0	1	303	168113613	1
chr7	83911927	83912263	chr7:83911927-83912263	.	.	83911927	83912263	0	1	336	83911919	1
chr8	45062888	45063253	chr8:45062888-45063253	.	.	45062888	45063253	0	1	365	45062884	1
chr1	153635094	153635404	chr1:153635094-153635404	.	.	153635094	153635404	0	1	310	153635093	1
chr2	132091837	132092107	chr2:132091837-132092107	.	.	132091837	132092107	0	1	270	132091836	1
chr5	147992602	147992817	chr5:147992602-147992817	.	.	147992602	147992817	0	1	215	147992601	1
chr6	6077340	6077696	chr6:6077340-6077696	.	.	6077340	6077696	0	1	356	6077334	1
chr1	193922701	193923044	chr1:193922701-193923044	.	.	193922701	193923044	0	1	343	193922700	1
chr10	8973886	8974245	chr10:8973886-8974245	.	.	8973886	8974245	0	1	359	8973878	1
chr16	94003485	94003838	chr16:94003485-94003838	.	.	94003485	94003838	0	1	353	94003476	1
chr4	6341118	6341467	chr4:6341118-6341467	.	.	6341118	6341467	0	1	349	6341112	1
chr17	81679663	81679985	chr17:81679663-81679985	.	.	81679663	81679985	0	1	322	81679655	1
chr14	50994986	50995298	chr14:50994986-50995298	.	.	50994986	50995298	0	1	312	50994981	1
chr9	24136464	24136677	chr9:24136464-24136677	.	.	24136464	24136677	0	1	213	24136462	1
chr7	34562303	34562669	chr7:34562303-34562669	.	.	34562303	34562669	0	1	366	34562300	1
chr11	64752404	64752761	chr11:64752404-64752761	.	.	64752404	64752761	0	1	357	64752398	1
chr11	88789929	88790280	chr11:88789929-88790280	.	.	88789929	88790280	0	1	351	88789921	1
chr12	16056285	16056645	chr12:16056285-16056645	.	.	16056285	16056645	0	1	360	16056284	1
chr2	122672869	122673157	chr2:122672869-122673157	.	.	122672869	122673157	0	1	288	122672868	1
chr1	151861252	151861571	chr1:151861252-151861571	.	.	151861252	151861571	0	1	319	151861251	1
chr8	4312209	4312463	chr8:4312209-4312463	.	.	4312209	4312463	0	1	254	4312205	1
chr2	170577470	170577876	chr2:170577470-170577876	.	.	170577470	170577876	0	1	406	170577469	1
chr2	4593439	4593862	chr2:4593439-4593862	.	.	4593439	4593862	0	1	423	4593435	1
chr3	84781826	84781995	chr3:84781826-84781995	.	.	84781826	84781995	0	1	169	84781818	1
chr13	59745524	59745900	chr13:59745524-59745900	.	.	59745524	59745900	0	1	376	59745519	1
chr17	44129168	44129340	chr17:44129168-44129340	.	.	44129168	44129340	0	1	172	44129164	1
chr5	146916718	146917080	chr5:146916718-146917080	.	.	146916718	146917080	0	1	362	146916717	1
chr16	44496901	44497212	chr16:44496901-44497212	.	.	44496901	44497212	0	1	311	44496897	1
chr10	5224582	5224839	chr10:5224582-5224839	.	.	5224582	5224839	0	1	257	5224577	1
chr8	41033379	41033661	chr8:41033379-41033661	.	.	41033379	41033661	0	1	282	41033375	1
chr3	81649360	81649781	chr3:81649360-81649781	.	.	81649360	81649781	0	1	421	81649352	1
chr18	73709585	73709940	chr18:73709585-73709940	.	.	73709585	73709940	0	1	355	73709578	1
chr1	35971544	35971896	chr1:35971544-35971896	.	.	35971544	35971896	0	1	352	35971541	1
chr19	59405598	59405961	chr19:59405598-59405961	.	.	59405598	59405961	0	1	363	59405593	1
chr11	67829561	67829892	chr11:67829561-67829892	.	.	67829561	67829892	0	1	331	67829555	1
chr7	92199549	92199748	chr7:92199549-92199748	.	.	92199549	92199748	0	1	199	92199540	1
chr16	8794858	8795223	chr16:8794858-8795223	.	.	8794858	8795223	0	1	365	8794850	1
chrX	152092540	152092877	chrX:152092540-152092877	.	.	152092540	152092877	0	1	337	152092539	1
chr12	21430217	21430555	chr12:21430217-21430555	.	.	21430217	21430555	0	1	338	21430215	1
chrX	162501005	162501336	chrX:162501005-162501336	.	.	162501005	162501336	0	1	331	162501004	1
chr4	40666369	40666637	chr4:40666369-40666637	.	.	40666369	40666637	0	1	268	40666365	1
chr4	109439131	109439367	chr4:109439131-109439367	.	.	109439131	109439367	0	1	236	109439130	1
chr9	14006444	14006686	chr9:14006444-14006686	.	.	14006444	14006686	0	1	242	14006443	1
chr17	59761009	59761357	chr17:59761009-59761357	.	.	59761009	59761357	0	1	348	59761004	1
chr18	15283744	15284084	chr18:15283744-15284084	.	.	15283744	15284084	0	1	340	15283743	1
chr19	12736789	12737164	chr19:12736789-12737164	.	.	12736789	12737164	0	1	375	12736788	1
chr2	132867630	132867915	chr2:132867630-132867915	.	.	132867630	132867915	0	1	285	132867629	1
chr9	89758566	89758938	chr9:89758566-89758938	.	.	89758566	89758938	0	1	372	89758558	1
chrX	163594861	163595044	chrX:163594861-163595044	.	.	163594861	163595044	0	1	183	163594860	1
chrX	113003554	113003932	chrX:113003554-113003932	.	.	113003554	113003932	0	1	378	113003553	1
chr16	22915549	22915678	chr16:22915549-22915678	.	.	22915549	22915678	0	1	129	22915547	1
chr2	153333930	153334277	chr2:153333930-153334277	.	.	153333930	153334277	0	1	347	153333929	1
chr8	122764821	122765200	chr8:122764821-122765200	.	.	122764821	122765200	0	1	379	122764820	1
chr4	55285775	55286129	chr4:55285775-55286129	.	.	55285775	55286129	0	1	354	55285770	1
chr15	101407941	101408249	chr15:101407941-101408249	.	.	101407941	101408249	0	1	308	101407940	1
chr6	123319762	123320103	chr6:123319762-123320103	.	.	123319762	123320103	0	1	341	123319761	1
chr5	93245531	93245744	chr5:93245531-93245744	.	.	93245531	93245744	0	1	213	93245522	1
chr6	31415274	31415563	chr6:31415274-31415563	.	.	31415274	31415563	0	1	289	31415271	1
chr11	71991665	71991984	chr11:71991665-71991984	.	.	71991665	71991984	0	1	319	71991658	1
chr2	52979584	52979780	chr2:52979584-52979780	.	.	52979584	52979780	0	1	196	52979579	1
chr9	118855659	118855927	chr9:118855659-118855927	.	.	118855659	118855927	0	1	268	118855658	1
chr4	122815768	122815921	chr4:122815768-122815921	.	.	122815768	122815921	0	1	153	122815767	1
chr9	50363409	50363606	chr9:50363409-50363606	.	.	50363409	50363606	0	1	197	50363404	1
chr4	32305783	32305911	chr4:32305783-32305911	.	.	32305783	32305911	0	1	128	32305780	1
chr8	109544068	109544411	chr8:109544068-109544411	.	.	109544068	109544411	0	1	343	109544067	1
chr4	31658889	31659258	chr4:31658889-31659258	.	.	31658889	31659258	0	1	369	31658886	1
chr6	50223028	50223348	chr6:50223028-50223348	.	.	50223028	50223348	0	1	320	50223023	1
chr6	93982029	93982385	chr6:93982029-93982385	.	.	93982029	93982385	0	1	356	93982020	1
chr2	147229766	147230104	chr2:147229766-147230104	.	.	147229766	147230104	0	1	338	147229765	1
chr11	55381176	55381355	chr11:55381176-55381355	.	.	55381176	55381355	0	1	179	55381171	1
chr17	43758653	43758990	chr17:43758653-43758990	.	.	43758653	43758990	0	1	337	43758649	1
chr12	98954742	98955086	chr12:98954742-98955086	.	.	98954742	98955086	0	1	344	98954733	1
chr5	85772293	85772527	chr5:85772293-85772527	.	.	85772293	85772527	0	1	234	85772285	1
chr5	3284332	3284668	chr5:3284332-3284668	.	.	3284332	3284668	0	1	336	3284329	1
chr7	116320246	116320570	chr7:116320246-116320570	.	.	116320246	116320570	0	1	324	116320245	1
chr16	76443116	76443447	chr16:76443116-76443447	.	.	76443116	76443447	0	1	331	76443109	1
chr2	178700832	178701159	chr2:178700832-178701159	.	.	178700832	178701159	0	1	327	178700831	1
chr8	85447680	85448022	chr8:85447680-85448022	.	.	85447680	85448022	0	1	342	85447672	1
chr10	20892299	20892514	chr10:20892299-20892514	.	.	20892299	20892514	0	1	215	20892297	1
chr6	40331499	40331835	chr6:40331499-40331835	.	.	40331499	40331835	0	1	336	40331495	1
chr17	87847514	87847633	chr17:87847514-87847633	.	.	87847514	87847633	0	1	119	87847506	1
chr5	100775397	100775724	chr5:100775397-100775724	.	.	100775397	100775724	0	1	327	100775396	1
chr12	78631803	78632154	chr12:78631803-78632154	.	.	78631803	78632154	0	1	351	78631796	1
chr5	47483010	47483350	chr5:47483010-47483350	.	.	47483010	47483350	0	1	340	47483006	1
chr3	33858935	33859120	chr3:33858935-33859120	.	.	33858935	33859120	0	1	185	33858932	1
chr9	75477218	75477559	chr9:75477218-75477559	.	.	75477218	75477559	0	1	341	75477211	1
chr4	83061620	83061963	chr4:83061620-83061963	.	.	83061620	83061963	0	1	343	83061612	1
chr14	115392199	115392508	chr14:115392199-115392508	.	.	115392199	115392508	0	1	309	115392198	1
chr4	82617342	82617685	chr4:82617342-82617685	.	.	82617342	82617685	0	1	343	82617334	1
chrX	95525148	95525392	chrX:95525148-95525392	.	.	95525148	95525392	0	1	244	95525139	1
chr15	93415425	93415614	chr15:93415425-93415614	.	.	93415425	93415614	0	1	189	93415416	1
chr12	58902006	58902118	chr12:58902006-58902118	.	.	58902006	58902118	0	1	112	58902001	1
chr4	114694058	114694420	chr4:114694058-114694420	.	.	114694058	114694420	0	1	362	114694057	1
chr18	64482328	64482637	chr18:64482328-64482637	.	.	64482328	64482637	0	1	309	64482322	1
chr17	51937844	51938009	chr17:51937844-51938009	.	.	51937844	51938009	0	1	165	51937839	1
chr9	32155614	32155723	chr9:32155614-32155723	.	.	32155614	32155723	0	1	109	32155611	1
chr19	32362743	32363087	chr19:32362743-32363087	.	.	32362743	32363087	0	1	344	32362740	1
chr14	51077378	51077688	chr14:51077378-51077688	.	.	51077378	51077688	0	1	310	51077373	1
chr6	80289801	80290163	chr6:80289801-80290163	.	.	80289801	80290163	0	1	362	80289793	1
chr2	120422452	120422802	chr2:120422452-120422802	.	.	120422452	120422802	0	1	350	120422451	1
chr8	10703718	10703981	chr8:10703718-10703981	.	.	10703718	10703981	0	1	263	10703717	1
chr15	25545569	25545942	chr15:25545569-25545942	.	.	25545569	25545942	0	1	373	25545567	1
chr7	71646991	71647325	chr7:71646991-71647325	.	.	71646991	71647325	0	1	334	71646984	1
chr5	125745854	125745976	chr5:125745854-125745976	.	.	125745854	125745976	0	1	122	125745853	1
chr15	55626472	55626683	chr15:55626472-55626683	.	.	55626472	55626683	0	1	211	55626467	1
chr5	46032238	46032553	chr5:46032238-46032553	.	.	46032238	46032553	0	1	315	46032234	1
chr5	66121432	66121750	chr5:66121432-66121750	.	.	66121432	66121750	0	1	318	66121426	1
chr10	123004550	123004867	chr10:123004550-123004867	.	.	123004550	123004867	0	1	317	123004549	1
chr12	76045663	76045991	chr12:76045663-76045991	.	.	76045663	76045991	0	1	328	76045656	1
chrX	134878999	134879349	chrX:134878999-134879349	.	.	134878999	134879349	0	1	350	134878998	1
chr3	126011414	126011682	chr3:126011414-126011682	.	.	126011414	126011682	0	1	268	126011413	1
chr10	41585983	41586147	chr10:41585983-41586147	.	.	41585983	41586147	0	1	164	41585979	1
chr2	48546282	48546647	chr2:48546282-48546647	.	.	48546282	48546647	0	1	365	48546278	1
chr6	47323303	47323668	chr6:47323303-47323668	.	.	47323303	47323668	0	1	365	47323299	1
chr3	98071202	98071521	chr3:98071202-98071521	.	.	98071202	98071521	0	1	319	98071193	1
chr1	152592046	152592406	chr1:152592046-152592406	.	.	152592046	152592406	0	1	360	152592045	1
chr4	72033556	72033885	chr4:72033556-72033885	.	.	72033556	72033885	0	1	329	72033549	1
chr12	12293226	12293576	chr12:12293226-12293576	.	.	12293226	12293576	0	1	350	12293225	1
chr18	13680909	13681254	chr18:13680909-13681254	.	.	13680909	13681254	0	1	345	13680908	1
chr8	90356818	90357108	chr8:90356818-90357108	.	.	90356818	90357108	0	1	290	90356809	1
chr9	64583104	64583399	chr9:64583104-64583399	.	.	64583104	64583399	0	1	295	64583098	1
chr19	23680850	23681126	chr19:23680850-23681126	.	.	23680850	23681126	0	1	276	23680848	1
chr7	36197748	36198106	chr7:36197748-36198106	.	.	36197748	36198106	0	1	358	36197745	1
chr11	61470883	61471201	chr11:61470883-61471201	.	.	61470883	61471201	0	1	318	61470877	1
chr7	56061080	56061328	chr7:56061080-56061328	.	.	56061080	56061328	0	1	248	56061075	1
chr10	97201832	97202154	chr10:97201832-97202154	.	.	97201832	97202154	0	1	322	97201823	1
chr8	104799094	104799416	chr8:104799094-104799416	.	.	104799094	104799416	0	1	322	104799093	1
chr5	47272726	47273056	chr5:47272726-47273056	.	.	47272726	47273056	0	1	330	47272722	1
chr10	37618650	37618978	chr10:37618650-37618978	.	.	37618650	37618978	0	1	328	37618647	1
chr16	75193461	75193770	chr16:75193461-75193770	.	.	75193461	75193770	0	1	309	75193454	1
chr1	79948065	79948389	chr1:79948065-79948389	.	.	79948065	79948389	0	1	324	79948058	1
chr13	110686338	110686580	chr13:110686338-110686580	.	.	110686338	110686580	0	1	242	110686337	1
chr5	68627606	68627960	chr5:68627606-68627960	.	.	68627606	68627960	0	1	354	68627600	1
chr7	134471425	134471772	chr7:134471425-134471772	.	.	134471425	134471772	0	1	347	134471424	1
chr6	60931410	60931757	chr6:60931410-60931757	.	.	60931410	60931757	0	1	347	60931404	1
chr11	87149711	87150064	chr11:87149711-87150064	.	.	87149711	87150064	0	1	353	87149703	1
chrX	12374855	12375191	chrX:12374855-12375191	.	.	12374855	12375191	0	1	336	12374854	1
chr8	24344428	24344479	chr8:24344428-24344479	.	.	24344428	24344479	0	1	51	24344426	1
chr1	53726043	53726382	chr1:53726043-53726382	.	.	53726043	53726382	0	1	339	53726038	1
chr17	79115514	79115786	chr17:79115514-79115786	.	.	79115514	79115786	0	1	272	79115507	1
chr3	83746307	83746558	chr3:83746307-83746558	.	.	83746307	83746558	0	1	251	83746299	1
chr8	54072728	54073045	chr8:54072728-54073045	.	.	54072728	54073045	0	1	317	54072723	1
chr14	93461571	93461910	chr14:93461571-93461910	.	.	93461571	93461910	0	1	339	93461562	1
chr5	133666675	133666729	chr5:133666675-133666729	.	.	133666675	133666729	0	1	54	133666674	1
chr13	34678157	34678530	chr13:34678157-34678530	.	.	34678157	34678530	0	1	373	34678154	1
chr5	53082994	53083337	chr5:53082994-53083337	.	.	53082994	53083337	0	1	343	53082989	1
chr1	57430669	57430896	chr1:57430669-57430896	.	.	57430669	57430896	0	1	227	57430664	1
chr19	37725447	37725748	chr19:37725447-37725748	.	.	37725447	37725748	0	1	301	37725444	1
chr14	17886897	17887119	chr14:17886897-17887119	.	.	17886897	17887119	0	1	222	17886896	1
chr16	17329354	17329617	chr16:17329354-17329617	.	.	17329354	17329617	0	1	263	17329353	1
chr12	25462773	25462969	chr12:25462773-25462969	.	.	25462773	25462969	0	1	196	25462771	1
chr3	68998657	68998829	chr3:68998657-68998829	.	.	68998657	68998829	0	1	172	68998651	1
chr1	23720359	23720717	chr1:23720359-23720717	.	.	23720359	23720717	0	1	358	23720357	2
chr4	106314323	106314497	chr4:106314323-106314497	.	.	106314323	106314497	0	1	174	106314322	2
chr6	113660027	113660703	chr6:113660027-113660703	.	.	113660027	113660703	0	1	676	113660026	2
chr3	121369605	121369966	chr3:121369605-121369966	.	.	121369605	121369966	0	1	361	121369604	2
chr16	94245951	94246284	chr16:94245951-94246284	.	.	94245951	94246284	0	1	333	94245942	2
chr9	118722951	118723303	chr9:118722951-118723303	.	.	118722951	118723303	0	1	352	118722950	2
chr8	79613028	79613317	chr8:79613028-79613317	.	.	79613028	79613317	0	1	289	79613021	2
chr4	119464196	119464450	chr4:119464196-119464450	.	.	119464196	119464450	0	1	254	119464195	2
chr6	99126787	99127130	chr6:99126787-99127130	.	.	99126787	99127130	0	1	343	99126778	2
chr1	180536779	180536840	chr1:180536779-180536840	.	.	180536779	180536840	0	1	61	180536778	2
chr14	119007424	119007626	chr14:119007424-119007626	.	.	119007424	119007626	0	1	202	119007423	2
chr2	168429576	168429925	chr2:168429576-168429925	.	.	168429576	168429925	0	1	349	168429575	2
chr7	31017008	31017304	chr7:31017008-31017304	.	.	31017008	31017304	0	1	296	31017005	2
chr10	117449699	117450064	chr10:117449699-117450064	.	.	117449699	117450064	0	1	365	117449698	2
chr12	69867473	69867724	chr12:69867473-69867724	.	.	69867473	69867724	0	1	251	69867467	2
chr16	94239643	94239932	chr16:94239643-94239932	.	.	94239643	94239932	0	1	289	94239634	2
chr9	65232516	65232761	chr9:65232516-65232761	.	.	65232516	65232761	0	1	245	65232510	2
chr12	26410537	26410873	chr12:26410537-26410873	.	.	26410537	26410873	0	1	336	26410535	2
chr8	79161544	79161887	chr8:79161544-79161887	.	.	79161544	79161887	0	1	343	79161537	2
chr11	44476556	44476834	chr11:44476556-44476834	.	.	44476556	44476834	0	1	278	44476552	2
chr12	41096063	41096418	chr12:41096063-41096418	.	.	41096063	41096418	0	1	355	41096059	2
chr15	84551072	84551417	chr15:84551072-84551417	.	.	84551072	84551417	0	1	345	84551064	2
chr13	111640421	111640500	chr13:111640421-111640500	.	.	111640421	111640500	0	1	79	111640420	2
chr1	38109894	38109967	chr1:38109894-38109967	.	.	38109894	38109967	0	1	73	38109891	2
chr2	46533993	46534295	chr2:46533993-46534295	.	.	46533993	46534295	0	1	302	46533989	2
chr16	23264509	23264853	chr16:23264509-23264853	.	.	23264509	23264853	0	1	344	23264507	2
chr10	43827475	43827786	chr10:43827475-43827786	.	.	43827475	43827786	0	1	311	43827471	2
chr1	58995354	58995662	chr1:58995354-58995662	.	.	58995354	58995662	0	1	308	58995349	2
chr9	121301073	121301326	chr9:121301073-121301326	.	.	121301073	121301326	0	1	253	121301072	2
chr19	57494026	57494329	chr19:57494026-57494329	.	.	57494026	57494329	0	1	303	57494021	2
chr6	38712893	38713217	chr6:38712893-38713217	.	.	38712893	38713217	0	1	324	38712890	2
chr6	33322822	33323153	chr6:33322822-33323153	.	.	33322822	33323153	0	1	331	33322819	2
chr12	101005536	101005768	chr12:101005536-101005768	.	.	101005536	101005768	0	1	232	101005535	2
chr9	65087519	65087849	chr9:65087519-65087849	.	.	65087519	65087849	0	1	330	65087513	2
chr13	80933274	80933398	chr13:80933274-80933398	.	.	80933274	80933398	0	1	124	80933266	2
chr14	26571938	26572254	chr14:26571938-26572254	.	.	26571938	26572254	0	1	316	26571936	2
chr3	149143329	149143531	chr3:149143329-149143531	.	.	149143329	149143531	0	1	202	149143328	2
chr13	38546780	38547108	chr13:38546780-38547108	.	.	38546780	38547108	0	1	328	38546777	2
chr6	72155657	72155932	chr6:72155657-72155932	.	.	72155657	72155932	0	1	275	72155650	2
chr2	65391401	65391619	chr2:65391401-65391619	.	.	65391401	65391619	0	1	218	65391395	2
chr13	12525810	12525887	chr13:12525810-12525887	.	.	12525810	12525887	0	1	77	12525809	2
chr2	178563248	178563602	chr2:178563248-178563602	.	.	178563248	178563602	0	1	354	178563247	2
chr15	84692604	84692947	chr15:84692604-84692947	.	.	84692604	84692947	0	1	343	84692596	2
chr13	80932884	80933146	chr13:80932884-80933146	.	.	80932884	80933146	0	1	262	80932876	2
chr3	153190203	153190420	chr3:153190203-153190420	.	.	153190203	153190420	0	1	217	153190202	2
chr11	114220632	114220926	chr11:114220632-114220926	.	.	114220632	114220926	0	1	294	114220631	2
chr18	66453488	66453828	chr18:66453488-66453828	.	.	66453488	66453828	0	1	340	66453482	2
chr8	36120569	36120916	chr8:36120569-36120916	.	.	36120569	36120916	0	1	347	36120566	2
chr17	32939970	32940299	chr17:32939970-32940299	.	.	32939970	32940299	0	1	329	32939967	2
chr4	45535629	45535964	chr4:45535629-45535964	.	.	45535629	45535964	0	1	335	45535625	2
chr3	58657489	58657802	chr3:58657489-58657802	.	.	58657489	58657802	0	1	313	58657484	2
chr2	53844043	53844383	chr2:53844043-53844383	.	.	53844043	53844383	0	1	340	53844038	2
chr2	73160910	73161276	chr2:73160910-73161276	.	.	73160910	73161276	0	1	366	73160903	2
chr3	59174561	59174692	chr3:59174561-59174692	.	.	59174561	59174692	0	1	131	59174556	2
chr4	48310322	48310548	chr4:48310322-48310548	.	.	48310322	48310548	0	1	226	48310318	2
chr7	116625609	116625974	chr7:116625609-116625974	.	.	116625609	116625974	0	1	365	116625608	2
chr3	144167319	144167657	chr3:144167319-144167657	.	.	144167319	144167657	0	1	338	144167318	2
chr17	8994189	8994526	chr17:8994189-8994526	.	.	8994189	8994526	0	1	337	8994181	2
chr8	22423307	22423577	chr8:22423307-22423577	.	.	22423307	22423577	0	1	270	22423305	2
chr11	45069927	45070332	chr11:45069927-45070332	.	.	45069927	45070332	0	1	405	45069923	2
chr1	192537344	192537709	chr1:192537344-192537709	.	.	192537344	192537709	0	1	365	192537343	2
chrX	168338211	168338575	chrX:168338211-168338575	.	.	168338211	168338575	0	1	364	168338210	2
chr7	143037212	143037562	chr7:143037212-143037562	.	.	143037212	143037562	0	1	350	143037211	2
chr13	13483156	13483495	chr13:13483156-13483495	.	.	13483156	13483495	0	1	339	13483155	2
chr14	94068722	94068888	chr14:94068722-94068888	.	.	94068722	94068888	0	1	166	94068713	2
chr9	61150970	61151328	chr9:61150970-61151328	.	.	61150970	61151328	0	1	358	61150964	2
chr16	96654117	96654386	chr16:96654117-96654386	.	.	96654117	96654386	0	1	269	96654108	2
chr7	118637538	118637807	chr7:118637538-118637807	.	.	118637538	118637807	0	1	269	118637537	2
chr14	76013600	76013918	chr14:76013600-76013918	.	.	76013600	76013918	0	1	318	76013593	2
chr12	17271249	17271543	chr12:17271249-17271543	.	.	17271249	17271543	0	1	294	17271248	2
chr16	23283920	23284589	chr16:23283920-23284589	.	.	23283920	23284589	0	1	669	23283918	2
chr15	27960504	27960812	chr15:27960504-27960812	.	.	27960504	27960812	0	1	308	27960502	2
chr9	22773105	22773465	chr9:22773105-22773465	.	.	22773105	22773465	0	1	360	22773103	2
chr13	29744395	29744526	chr13:29744395-29744526	.	.	29744395	29744526	0	1	131	29744393	2
chr17	31275181	31275541	chr17:31275181-31275541	.	.	31275181	31275541	0	1	360	31275178	2
chr17	4503134	4503480	chr17:4503134-4503480	.	.	4503134	4503480	0	1	346	4503130	2
chr17	44174622	44174959	chr17:44174622-44174959	.	.	44174622	44174959	0	1	337	44174618	2
chr18	25390664	25390932	chr18:25390664-25390932	.	.	25390664	25390932	0	1	268	25390662	2
chr3	135568648	135568951	chr3:135568648-135568951	.	.	135568648	135568951	0	1	303	135568647	2
chr18	84818647	84818868	chr18:84818647-84818868	.	.	84818647	84818868	0	1	221	84818639	2
chr15	74939416	74939622	chr15:74939416-74939622	.	.	74939416	74939622	0	1	206	74939409	2
chr6	39258690	39258902	chr6:39258690-39258902	.	.	39258690	39258902	0	1	212	39258687	2
chr9	115358484	115358906	chr9:115358484-115358906	.	.	115358484	115358906	0	1	422	115358483	2
chr18	60515471	60515798	chr18:60515471-60515798	.	.	60515471	60515798	0	1	327	60515465	2
chr12	77678946	77679301	chr12:77678946-77679301	.	.	77678946	77679301	0	1	355	77678939	2
chr2	127586864	127586974	chr2:127586864-127586974	.	.	127586864	127586974	0	1	110	127586863	2
chr12	99431166	99431246	chr12:99431166-99431246	.	.	99431166	99431246	0	1	80	99431157	2
