chr	start	end	repName	id	pid	cpm.c
chr1	14925090	14925271	ORR1E	chr1:14925090-14925271|ORR1E	chr1:14924573-14925379|peak_1126	1
chr1	15850814	15850971	ORR1E	chr1:15850814-15850971|ORR1E	chr1:15850580-15851234|peak_1191	3
chr1	20738668	20738766	ORR1E	chr1:20738668-20738766|ORR1E	chr1:20738426-20738943|peak_1523	5
chr1	20981792	20982181	ORR1D2	chr1:20981792-20982181|ORR1D2	chr1:20981741-20982276|peak_1569	3
chr1	21618761	21619097	ORR1E	chr1:21618761-21619097|ORR1E	chr1:21618632-21619243|peak_1698	4
chr1	22099615	22099944	ORR1E	chr1:22099615-22099944|ORR1E	chr1:22099566-22100061|peak_1761	3
chr1	23720359	23720717	ORR1D2	chr1:23720359-23720717|ORR1D2	chr1:23720251-23721524|peak_1858	2
chr1	23902893	23903220	ORR1E	chr1:23902893-23903220|ORR1E	chr1:23902661-23903674|peak_1886	6
chr1	23923758	23924031	ORR1D2	chr1:23923758-23924031|ORR1D2	chr1:23923687-23924850|peak_1894	4
chr1	26047974	26048102	ORR1D2	chr1:26047974-26048102|ORR1D2	chr1:26047894-26048151|peak_2058	6
chr1	30851921	30852251	ORR1E	chr1:30851921-30852251|ORR1E	chr1:30851779-30852434|peak_2161	4
chr1	31377326	31377670	ORR1E	chr1:31377326-31377670|ORR1E	chr1:31377252-31378027|peak_2220	1
chr1	33611372	33611602	ORR1E	chr1:33611372-33611602|ORR1E	chr1:33611212-33611705|peak_2348	8
chr1	35142848	35143082	ORR1E	chr1:35142848-35143082|ORR1E	chr1:35142524-35143023|peak_2620	8
chr1	35332529	35332900	ORR1E	chr1:35332529-35332900|ORR1E	chr1:35331954-35332750|peak_2636	1
chr1	35765732	35766087	ORR1D2	chr1:35765732-35766087|ORR1D2	chr1:35765541-35766191|peak_2689	2
chr1	35907879	35908157	ORR1D2	chr1:35907879-35908157|ORR1D2	chr1:35907673-35908232|peak_2719	6
chr1	35971544	35971896	ORR1D2	chr1:35971544-35971896|ORR1D2	chr1:35971376-35972703|peak_2735	1
chr1	36126287	36126356	ORR1E	chr1:36126287-36126356|ORR1E	chr1:36126028-36126631|peak_2782	7
chr1	36138235	36138528	ORR1D2	chr1:36138235-36138528|ORR1D2	chr1:36138096-36138663|peak_2789	2
chr1	36217155	36217422	ORR1E	chr1:36217155-36217422|ORR1E	chr1:36217049-36217608|peak_2805	7
chr1	36282244	36282601	ORR1E	chr1:36282244-36282601|ORR1E	chr1:36281721-36282557|peak_2832	2
chr1	36604900	36604960	ORR1E	chr1:36604900-36604960|ORR1E	chr1:36602916-36605200|peak_2908	1
chr1	36874974	36875246	ORR1E	chr1:36874974-36875246|ORR1E	chr1:36874760-36875653|peak_2978	6
chr1	37146048	37146265	ORR1D2	chr1:37146048-37146265|ORR1D2	chr1:37146030-37146314|peak_3055	4
chr1	37290660	37291009	ORR1E	chr1:37290660-37291009|ORR1E	chr1:37290646-37291153|peak_3079	7
chr1	38069572	38069912	ORR1D2	chr1:38069572-38069912|ORR1D2	chr1:38069452-38070011|peak_3255	5
chr1	38109894	38109967	ORR1D2	chr1:38109894-38109967|ORR1D2	chr1:38109801-38110148|peak_3260	2
chr1	38794591	38794862	ORR1D2	chr1:38794591-38794862|ORR1D2	chr1:38794575-38795074|peak_3404	6
chr1	39061366	39061588	ORR1E	chr1:39061366-39061588|ORR1E	chr1:39061250-39061856|peak_3446	8
chr1	39102624	39102909	ORR1E	chr1:39102624-39102909|ORR1E	chr1:39102011-39103015|peak_3461	3
chr1	39105332	39105640	ORR1E	chr1:39105332-39105640|ORR1E	chr1:39105107-39106004|peak_3463	4
chr1	39530134	39530389	ORR1E	chr1:39530134-39530389|ORR1E	chr1:39530076-39530744|peak_3573	6
chr1	39754177	39754550	ORR1E	chr1:39754177-39754550|ORR1E	chr1:39754138-39755137|peak_3632	6
chr1	39949184	39949427	ORR1D2	chr1:39949184-39949427|ORR1D2	chr1:39949077-39949682|peak_3698	4
chr1	40052215	40052557	ORR1D2	chr1:40052215-40052557|ORR1D2	chr1:40051895-40052806|peak_3740	6
chr1	40095164	40095490	ORR1E	chr1:40095164-40095490|ORR1E	chr1:40095083-40095642|peak_3761	7
chr1	40290754	40290937	ORR1E	chr1:40290754-40290937|ORR1E	chr1:40290413-40291055|peak_3831	3
chr1	40295061	40295225	ORR1E	chr1:40295061-40295225|ORR1E	chr1:40294304-40296322|peak_3833	6
chr1	40295612	40295819	ORR1E	chr1:40295612-40295819|ORR1E	chr1:40294304-40296322|peak_3833	6
chr1	42631729	42632072	ORR1E	chr1:42631729-42632072|ORR1E	chr1:42631626-42632185|peak_4063	8
chr1	42878132	42878482	ORR1D2	chr1:42878132-42878482|ORR1D2	chr1:42877871-42878430|peak_4096	6
chr1	43110470	43110811	ORR1D2	chr1:43110470-43110811|ORR1D2	chr1:43110411-43111031|peak_4118	3
chr1	43433847	43434175	ORR1E	chr1:43433847-43434175|ORR1E	chr1:43433869-43434126|peak_4206	8
chr1	43811779	43812086	ORR1D2	chr1:43811779-43812086|ORR1D2	chr1:43811560-43812324|peak_4325	5
chr1	46873908	46874189	ORR1E	chr1:46873908-46874189|ORR1E	chr1:46873417-46874793|peak_4567	6
chr1	46894512	46894726	ORR1D2	chr1:46894512-46894726|ORR1D2	chr1:46894297-46895448|peak_4572	3
chr1	51572555	51572866	ORR1D2	chr1:51572555-51572866|ORR1D2	chr1:51572286-51573229|peak_4752	4
chr1	52679127	52679508	ORR1E	chr1:52679127-52679508|ORR1E	chr1:52679060-52679639|peak_5029	4
chr1	52863844	52864120	ORR1D2	chr1:52863844-52864120|ORR1D2	chr1:52863736-52864005|peak_5083	6
chr1	53726043	53726382	ORR1D2	chr1:53726043-53726382|ORR1D2	chr1:53725992-53726509|peak_5162	1
chr1	53741795	53742059	ORR1E	chr1:53741795-53742059|ORR1E	chr1:53741666-53742836|peak_5166	6
chr1	53993907	53994242	ORR1E	chr1:53993907-53994242|ORR1E	chr1:53993766-53994301|peak_5242	1
chr1	54333546	54333711	ORR1E	chr1:54333546-54333711|ORR1E	chr1:54332926-54333830|peak_5283	1
chr1	54527303	54527659	ORR1E	chr1:54527303-54527659|ORR1E	chr1:54527128-54527687|peak_5309	6
chr1	54870755	54871059	ORR1E	chr1:54870755-54871059|ORR1E	chr1:54870305-54871848|peak_5396	4
chr1	55029002	55029159	ORR1D2	chr1:55029002-55029159|ORR1D2	chr1:55028731-55029327|peak_5446	5
chr1	55129862	55130115	ORR1E	chr1:55129862-55130115|ORR1E	chr1:55129744-55130271|peak_5471	1
chr1	55473746	55474059	ORR1E	chr1:55473746-55474059|ORR1E	chr1:55473637-55474229|peak_5520	6
chr1	55512242	55512426	ORR1E	chr1:55512242-55512426|ORR1E	chr1:55512065-55512692|peak_5534	2
chr1	56086761	56087094	ORR1E	chr1:56086761-56087094|ORR1E	chr1:56086631-56087222|peak_5633	6
chr1	56260804	56261138	ORR1D2	chr1:56260804-56261138|ORR1D2	chr1:56260679-56261252|peak_5645	6
chr1	56490477	56490789	ORR1E	chr1:56490477-56490789|ORR1E	chr1:56490314-56490894|peak_5651	6
chr1	57430669	57430896	ORR1D2	chr1:57430669-57430896|ORR1D2	chr1:57430531-57431086|peak_5740	1
chr1	57906652	57907000	ORR1E	chr1:57906652-57907000|ORR1E	chr1:57906564-57907395|peak_5804	3
chr1	58824505	58824860	ORR1D2	chr1:58824505-58824860|ORR1D2	chr1:58824471-58824964|peak_5963	6
chr1	58995354	58995662	ORR1D2	chr1:58995354-58995662|ORR1D2	chr1:58995207-58995815|peak_5996	2
chr1	59755257	59755617	ORR1D2	chr1:59755257-59755617|ORR1D2	chr1:59755178-59755775|peak_6142	5
chr1	59943856	59944150	ORR1E	chr1:59943856-59944150|ORR1E	chr1:59943704-59944420|peak_6179	2
chr1	60530677	60531031	ORR1D2	chr1:60530677-60531031|ORR1D2	chr1:60530068-60531164|peak_6249	4
chr1	60658359	60658653	ORR1E	chr1:60658359-60658653|ORR1E	chr1:60658286-60658939|peak_6285	6
chr1	61084699	61085051	ORR1E	chr1:61084699-61085051|ORR1E	chr1:61084617-61085236|peak_6420	3
chr1	61463214	61463521	ORR1E	chr1:61463214-61463521|ORR1E	chr1:61463056-61463668|peak_6479	5
chr1	63044397	63044690	ORR1D2	chr1:63044397-63044690|ORR1D2	chr1:63044464-63044717|peak_6739	6
chr1	63458184	63458451	ORR1E	chr1:63458184-63458451|ORR1E	chr1:63458035-63458584|peak_6792	1
chr1	63987167	63987516	ORR1E	chr1:63987167-63987516|ORR1E	chr1:63987263-63988108|peak_6846	2
chr1	64253569	64253897	ORR1E	chr1:64253569-64253897|ORR1E	chr1:64253458-64254001|peak_6926	7
chr1	64328930	64329257	ORR1E	chr1:64328930-64329257|ORR1E	chr1:64328823-64329367|peak_6943	1
chr1	64625216	64625570	ORR1D2	chr1:64625216-64625570|ORR1D2	chr1:64625200-64625499|peak_7009	4
chr1	64840290	64840616	ORR1D2	chr1:64840290-64840616|ORR1D2	chr1:64840114-64840721|peak_7062	6
chr1	66861068	66861353	ORR1D2	chr1:66861068-66861353|ORR1D2	chr1:66861013-66861542|peak_7277	5
chr1	66878371	66878732	ORR1E	chr1:66878371-66878732|ORR1E	chr1:66878256-66878840|peak_7286	2
chr1	66884396	66884711	ORR1D2	chr1:66884396-66884711|ORR1D2	chr1:66884331-66884613|peak_7288	3
chr1	69421388	69421745	ORR1D2	chr1:69421388-69421745|ORR1D2	chr1:69421334-69421863|peak_7414	6
chr1	70279352	70279652	ORR1E	chr1:70279352-70279652|ORR1E	chr1:70279223-70279722|peak_7522	1
chr1	71000633	71000882	ORR1E	chr1:71000633-71000882|ORR1E	chr1:70999866-71000936|peak_7562	3
chr1	71070746	71070969	ORR1E	chr1:71070746-71070969|ORR1E	chr1:71070601-71071185|peak_7578	4
chr1	71798705	71799071	ORR1E	chr1:71798705-71799071|ORR1E	chr1:71798512-71799127|peak_7675	6
chr1	72134556	72134772	ORR1D2	chr1:72134556-72134772|ORR1D2	chr1:72134413-72135016|peak_7768	5
chr1	74072779	74072959	ORR1D2	chr1:74072779-74072959|ORR1D2	chr1:74072414-74073156|peak_8035	5
chr1	74833748	74834088	ORR1D2	chr1:74833748-74834088|ORR1D2	chr1:74833696-74834219|peak_8235	6
chr1	79948065	79948389	ORR1D2	chr1:79948065-79948389|ORR1D2	chr1:79947954-79948471|peak_8805	1
chr1	80153381	80153712	ORR1D2	chr1:80153381-80153712|ORR1D2	chr1:80153219-80153809|peak_8843	3
chr1	80454110	80454330	ORR1E	chr1:80454110-80454330|ORR1E	chr1:80453873-80454508|peak_8912	6
chr1	80577082	80577360	ORR1E	chr1:80577082-80577360|ORR1E	chr1:80576800-80577428|peak_8935	2
chr1	80703358	80703720	ORR1E	chr1:80703358-80703720|ORR1E	chr1:80703066-80703787|peak_8978	4
chr1	81303359	81303690	ORR1D2	chr1:81303359-81303690|ORR1D2	chr1:81303312-81303882|peak_9066	3
chr1	82833541	82833865	ORR1D2	chr1:82833541-82833865|ORR1D2	chr1:82833576-82833861|peak_9203	4
chr1	84274975	84275210	ORR1D2	chr1:84274975-84275210|ORR1D2	chr1:84274874-84275433|peak_9350	5
chr1	84986093	84986456	ORR1E	chr1:84986093-84986456|ORR1E	chr1:84985433-84986691|peak_9473	8
chr1	85572745	85573109	ORR1E	chr1:85572745-85573109|ORR1E	chr1:85572081-85573087|peak_9591	8
chr1	85779891	85779995	ORR1D2	chr1:85779891-85779995|ORR1D2	chr1:85779336-85780176|peak_9665	5
chr1	85861444	85861700	ORR1D2	chr1:85861444-85861700|ORR1D2	chr1:85861297-85861852|peak_9689	4
chr1	85928670	85928923	ORR1E	chr1:85928670-85928923|ORR1E	chr1:85928576-85929105|peak_9705	3
chr1	86423943	86424248	ORR1E	chr1:86423943-86424248|ORR1E	chr1:86423798-86424369|peak_9837	3
chr1	86465999	86466170	ORR1D2	chr1:86465999-86466170|ORR1D2	chr1:86465828-86466410|peak_9852	5
chr1	88217536	88217881	ORR1E	chr1:88217536-88217881|ORR1E	chr1:88216899-88218110|peak_10174	8
chr1	88495414	88495801	ORR1E	chr1:88495414-88495801|ORR1E	chr1:88495134-88495725|peak_10242	8
chr1	89042985	89043310	ORR1D2	chr1:89042985-89043310|ORR1D2	chr1:89042872-89043463|peak_10372	5
chr1	89230388	89230649	ORR1D2	chr1:89230388-89230649|ORR1D2	chr1:89230000-89230869|peak_10418	6
chr1	89300053	89300345	ORR1E	chr1:89300053-89300345|ORR1E	chr1:89299929-89300428|peak_10429	8
chr1	89742389	89742709	ORR1E	chr1:89742389-89742709|ORR1E	chr1:89742259-89742877|peak_10520	6
chr1	90235763	90236039	ORR1D2	chr1:90235763-90236039|ORR1D2	chr1:90235679-90236453|peak_10605	6
chr1	90505658	90505880	ORR1E	chr1:90505658-90505880|ORR1E	chr1:90505465-90506139|peak_10646	3
chr1	90582634	90582893	ORR1D2	chr1:90582634-90582893|ORR1D2	chr1:90582529-90583088|peak_10652	6
chr1	91027017	91027336	ORR1D2	chr1:91027017-91027336|ORR1D2	chr1:91026843-91027448|peak_10738	5
chr1	92158436	92158795	ORR1D2	chr1:92158436-92158795|ORR1D2	chr1:92158313-92159095|peak_11008	5
chr1	92190454	92190778	ORR1E	chr1:92190454-92190778|ORR1E	chr1:92190358-92190960|peak_11017	4
chr1	92306160	92306494	ORR1E	chr1:92306160-92306494|ORR1E	chr1:92305920-92306519|peak_11047	1
chr1	92379011	92379366	ORR1E	chr1:92379011-92379366|ORR1E	chr1:92379132-92379409|peak_11064	8
chr1	95059722	95060056	ORR1D2	chr1:95059722-95060056|ORR1D2	chr1:95059726-95060275|peak_11461	3
chr1	95076908	95077116	ORR1D2	chr1:95076908-95077116|ORR1D2	chr1:95076755-95077324|peak_11462	3
chr1	95231144	95231375	ORR1D2	chr1:95231144-95231375|ORR1D2	chr1:95231186-95231453|peak_11472	6
chr1	95397302	95397661	ORR1D2	chr1:95397302-95397661|ORR1D2	chr1:95397046-95397674|peak_11498	6
chr1	95572658	95572978	ORR1D2	chr1:95572658-95572978|ORR1D2	chr1:95572526-95573822|peak_11526	4
chr1	98788524	98788830	ORR1D2	chr1:98788524-98788830|ORR1D2	chr1:98788551-98788837|peak_11802	5
chr1	100703239	100703557	ORR1E	chr1:100703239-100703557|ORR1E	chr1:100703346-100703603|peak_11860	8
chr1	102021287	102021492	ORR1E	chr1:102021287-102021492|ORR1E	chr1:102021176-102021751|peak_11879	8
chr1	105191146	105191454	ORR1E	chr1:105191146-105191454|ORR1E	chr1:105191041-105191632|peak_11960	6
chr1	105291914	105292055	ORR1E	chr1:105291914-105292055|ORR1E	chr1:105291826-105292156|peak_11975	8
chr1	105553185	105553539	ORR1E	chr1:105553185-105553539|ORR1E	chr1:105553009-105553611|peak_12015	7
chr1	105677224	105677579	ORR1D2	chr1:105677224-105677579|ORR1D2	chr1:105677137-105677735|peak_12034	4
chr1	105964567	105964885	ORR1E	chr1:105964567-105964885|ORR1E	chr1:105964391-105965001|peak_12107	6
chr1	106138686	106139024	ORR1D2	chr1:106138686-106139024|ORR1D2	chr1:106138620-106139777|peak_12152	5
chr1	106874364	106874702	ORR1E	chr1:106874364-106874702|ORR1E	chr1:106874378-106874633|peak_12350	3
chr1	118440582	118440993	ORR1E	chr1:118440582-118440993|ORR1E	chr1:118440441-118441096|peak_12734	3
chr1	118569545	118569832	ORR1D2	chr1:118569545-118569832|ORR1D2	chr1:118569426-118569993|peak_12765	3
chr1	118678046	118678399	ORR1E	chr1:118678046-118678399|ORR1E	chr1:118677997-118678536|peak_12787	1
chr1	119344231	119344318	ORR1E	chr1:119344231-119344318|ORR1E	chr1:119344065-119344376|peak_12902	8
chr1	119769651	119769992	ORR1E	chr1:119769651-119769992|ORR1E	chr1:119769522-119770041|peak_12974	8
chr1	119859613	119859931	ORR1E	chr1:119859613-119859931|ORR1E	chr1:119859459-119860031|peak_12990	4
chr1	119898525	119898759	ORR1E	chr1:119898525-119898759|ORR1E	chr1:119898341-119898876|peak_12999	5
chr1	119903161	119903323	ORR1E	chr1:119903161-119903323|ORR1E	chr1:119902850-119903599|peak_13000	8
chr1	120293849	120294181	ORR1E	chr1:120293849-120294181|ORR1E	chr1:120293646-120294318|peak_13098	1
chr1	120498196	120498514	ORR1E	chr1:120498196-120498514|ORR1E	chr1:120497950-120498555|peak_13145	1
chr1	121135637	121135968	ORR1E	chr1:121135637-121135968|ORR1E	chr1:121135546-121136176|peak_13218	8
chr1	121453736	121454046	ORR1E	chr1:121453736-121454046|ORR1E	chr1:121453685-121454285|peak_13277	3
chr1	121842389	121842732	ORR1E	chr1:121842389-121842732|ORR1E	chr1:121842270-121842937|peak_13328	3
chr1	123220920	123221086	ORR1D2	chr1:123220920-123221086|ORR1D2	chr1:123220593-123221282|peak_13364	6
chr1	123221096	123221241	ORR1E	chr1:123221096-123221241|ORR1E	chr1:123220593-123221282|peak_13364	8
chr1	123719830	123720142	ORR1E	chr1:123719830-123720142|ORR1E	chr1:123719993-123720250|peak_13380	8
chr1	123761243	123761631	ORR1D2	chr1:123761243-123761631|ORR1D2	chr1:123760776-123761707|peak_13385	6
chr1	123990260	123990568	ORR1E	chr1:123990260-123990568|ORR1E	chr1:123990089-123990682|peak_13418	8
chr1	125197382	125197760	ORR1E	chr1:125197382-125197760|ORR1E	chr1:125197296-125197813|peak_13460	1
chr1	125214069	125214313	ORR1E	chr1:125214069-125214313|ORR1E	chr1:125213922-125214996|peak_13462	1
chr1	125382774	125382885	ORR1D2	chr1:125382774-125382885|ORR1D2	chr1:125382536-125383229|peak_13477	2
chr1	125383087	125383246	ORR1D2	chr1:125383087-125383246|ORR1D2	chr1:125382536-125383229|peak_13477	2
chr1	125474209	125474605	ORR1D2	chr1:125474209-125474605|ORR1D2	chr1:125473097-125474610|peak_13509	5
chr1	126195384	126195713	ORR1E	chr1:126195384-126195713|ORR1E	chr1:126195436-126195693|peak_13592	8
chr1	126403935	126404278	ORR1E	chr1:126403935-126404278|ORR1E	chr1:126403926-126404519|peak_13605	8
chr1	126833578	126833704	ORR1D2	chr1:126833578-126833704|ORR1D2	chr1:126833436-126833943|peak_13679	6
chr1	126846233	126846611	ORR1E	chr1:126846233-126846611|ORR1E	chr1:126846269-126846812|peak_13682	1
chr1	126906976	126907318	ORR1E	chr1:126906976-126907318|ORR1E	chr1:126906771-126907289|peak_13692	1
chr1	127037802	127038007	ORR1E	chr1:127037802-127038007|ORR1E	chr1:127037622-127038177|peak_13714	8
chr1	127360306	127360559	ORR1E	chr1:127360306-127360559|ORR1E	chr1:127360336-127360617|peak_13794	8
chr1	127413982	127414159	ORR1E	chr1:127413982-127414159|ORR1E	chr1:127413690-127414394|peak_13803	4
chr1	127602377	127602633	ORR1E	chr1:127602377-127602633|ORR1E	chr1:127602305-127602796|peak_13846	8
chr1	127684961	127685312	ORR1E	chr1:127684961-127685312|ORR1E	chr1:127684877-127685400|peak_13866	1
chr1	128057347	128057676	ORR1D2	chr1:128057347-128057676|ORR1D2	chr1:128057116-128057733|peak_13932	4
chr1	128436064	128436313	ORR1D2	chr1:128436064-128436313|ORR1D2	chr1:128435452-128436521|peak_13992	1
chr1	128797911	128798307	ORR1D2	chr1:128797911-128798307|ORR1D2	chr1:128797357-128798305|peak_14117	5
chr1	128957335	128957658	ORR1E	chr1:128957335-128957658|ORR1E	chr1:128957226-128957752|peak_14140	2
chr1	131076606	131076957	ORR1D2	chr1:131076606-131076957|ORR1D2	chr1:131076647-131076900|peak_14373	5
chr1	131365952	131366247	ORR1E	chr1:131365952-131366247|ORR1E	chr1:131365704-131366360|peak_14470	5
chr1	131412095	131412417	ORR1E	chr1:131412095-131412417|ORR1E	chr1:131411998-131412537|peak_14478	1
chr1	131561253	131561594	ORR1D2	chr1:131561253-131561594|ORR1D2	chr1:131560388-131561869|peak_14523	5
chr1	133846939	133847264	ORR1E	chr1:133846939-133847264|ORR1E	chr1:133846906-133847205|peak_15076	4
chr1	135523096	135523427	ORR1E	chr1:135523096-135523427|ORR1E	chr1:135522961-135523916|peak_15457	7
chr1	135944588	135944705	ORR1E	chr1:135944588-135944705|ORR1E	chr1:135944464-135945300|peak_15606	2
chr1	136099149	136099477	ORR1E	chr1:136099149-136099477|ORR1E	chr1:136099153-136099696|peak_15618	8
chr1	136325839	136326137	ORR1D2	chr1:136325839-136326137|ORR1D2	chr1:136325681-136326557|peak_15679	6
chr1	137549695	137550040	ORR1E	chr1:137549695-137550040|ORR1E	chr1:137549568-137550161|peak_15869	7
chr1	138480749	138481022	ORR1E	chr1:138480749-138481022|ORR1E	chr1:138480572-138481175|peak_16078	6
chr1	143633202	143633481	ORR1E	chr1:143633202-143633481|ORR1E	chr1:143633270-143633551|peak_16475	8
chr1	143985050	143985247	ORR1E	chr1:143985050-143985247|ORR1E	chr1:143984818-143985462|peak_16542	4
chr1	151083794	151084085	ORR1D2	chr1:151083794-151084085|ORR1D2	chr1:151083570-151084337|peak_17067	4
chr1	151480296	151480443	ORR1E	chr1:151480296-151480443|ORR1E	chr1:151480030-151480585|peak_17166	2
chr1	151861252	151861571	ORR1D2	chr1:151861252-151861571|ORR1D2	chr1:151861020-151861672|peak_17262	1
chr1	151975488	151975813	ORR1E	chr1:151975488-151975813|ORR1E	chr1:151975270-151975863|peak_17295	8
chr1	152592046	152592406	ORR1D2	chr1:152592046-152592406|ORR1D2	chr1:152591475-152593153|peak_17442	1
chr1	152697567	152697645	ORR1D2	chr1:152697567-152697645|ORR1D2	chr1:152697307-152697898|peak_17476	5
chr1	152784070	152784410	ORR1E	chr1:152784070-152784410|ORR1E	chr1:152784094-152784668|peak_17494	6
chr1	153234063	153234316	ORR1E	chr1:153234063-153234316|ORR1E	chr1:153233930-153234465|peak_17597	5
chr1	153431714	153432046	ORR1D2	chr1:153431714-153432046|ORR1D2	chr1:153431620-153432213|peak_17651	5
chr1	153566322	153566646	ORR1E	chr1:153566322-153566646|ORR1E	chr1:153566087-153566780|peak_17691	3
chr1	153635094	153635404	ORR1D2	chr1:153635094-153635404|ORR1D2	chr1:153634640-153636057|peak_17706	1
chr1	154058138	154058198	ORR1D2	chr1:154058138-154058198|ORR1D2	chr1:154057713-154058418|peak_17822	5
chr1	154849021	154849314	ORR1E	chr1:154849021-154849314|ORR1E	chr1:154848832-154849805|peak_17941	2
chr1	154854532	154854879	ORR1E	chr1:154854532-154854879|ORR1E	chr1:154854313-154855088|peak_17943	7
chr1	155119106	155119460	ORR1E	chr1:155119106-155119460|ORR1E	chr1:155119026-155119581|peak_18015	4
chr1	155956567	155956908	ORR1E	chr1:155956567-155956908|ORR1E	chr1:155956361-155956920|peak_18191	2
chr1	156581270	156581350	ORR1E	chr1:156581270-156581350|ORR1E	chr1:156581026-156581617|peak_18329	6
chr1	156752483	156752846	ORR1D2	chr1:156752483-156752846|ORR1D2	chr1:156752233-156752866|peak_18384	3
chr1	159805909	159806238	ORR1E	chr1:159805909-159806238|ORR1E	chr1:159805758-159806271|peak_18760	3
chr1	161139486	161139696	ORR1E	chr1:161139486-161139696|ORR1E	chr1:161139379-161140823|peak_19039	7
chr1	161464969	161465278	ORR1E	chr1:161464969-161465278|ORR1E	chr1:161464832-161465319|peak_19121	8
chr1	161794613	161794859	ORR1E	chr1:161794613-161794859|ORR1E	chr1:161794304-161795324|peak_19218	4
chr1	161812068	161812382	ORR1E	chr1:161812068-161812382|ORR1E	chr1:161811988-161812519|peak_19225	1
chr1	162653938	162654302	ORR1E	chr1:162653938-162654302|ORR1E	chr1:162653784-162654392|peak_19388	8
chr1	163697271	163697467	ORR1E	chr1:163697271-163697467|ORR1E	chr1:163697042-163697531|peak_19520	8
chr1	164870819	164871103	ORR1E	chr1:164870819-164871103|ORR1E	chr1:164870602-164871234|peak_19763	2
chr1	165020927	165021229	ORR1E	chr1:165020927-165021229|ORR1E	chr1:165020789-165021693|peak_19801	1
chr1	165044732	165045025	ORR1E	chr1:165044732-165045025|ORR1E	chr1:165044759-165045026|peak_19805	4
chr1	165170206	165170548	ORR1E	chr1:165170206-165170548|ORR1E	chr1:165170097-165170865|peak_19832	1
chr1	166417866	166418049	ORR1E	chr1:166417866-166418049|ORR1E	chr1:166417652-166418243|peak_20138	6
chr1	166759107	166759430	ORR1E	chr1:166759107-166759430|ORR1E	chr1:166758869-166759530|peak_20180	6
chr1	166793105	166793398	ORR1E	chr1:166793105-166793398|ORR1E	chr1:166792978-166793573|peak_20185	3
chr1	166856013	166856346	ORR1E	chr1:166856013-166856346|ORR1E	chr1:166855923-166856440|peak_20207	3
chr1	167534272	167534332	ORR1E	chr1:167534272-167534332|ORR1E	chr1:167534157-167534430|peak_20353	3
chr1	167637978	167638330	ORR1E	chr1:167637978-167638330|ORR1E	chr1:167637971-167638513|peak_20372	3
chr1	168478762	168479131	ORR1E	chr1:168478762-168479131|ORR1E	chr1:168478671-168479294|peak_20487	1
chr1	168546020	168546271	ORR1E	chr1:168546020-168546271|ORR1E	chr1:168545959-168546518|peak_20497	6
chr1	169442747	169443088	ORR1E	chr1:169442747-169443088|ORR1E	chr1:169442585-169443194|peak_20550	7
chr1	170901751	170901949	ORR1D2	chr1:170901751-170901949|ORR1D2	chr1:170900686-170902084|peak_20850	4
