SRR/Download	Data	Label	Source
SRR5799477	ATAC-seq	NKT.LPS.3hr.Sp_1	Immgen
SRR5799478	ATAC-seq	NKT.LPS.3hr.Sp_2	Immgen
SRR5799479	ATAC-seq	NKT.LPS.18hr.Sp_1	Immgen
SRR5799480	ATAC-seq	NKT.LPS.18hr.Sp_2	Immgen
SRR5799481	ATAC-seq	NKT.LPS.3d.Sp_1	Immgen
SRR5799482	ATAC-seq	NKT.LPS.3d.Sp_2	Immgen
SRR5799483	ATAC-seq	ILC2.SI_1	Immgen
SRR5799484	ATAC-seq	ILC2.SI_2	Immgen
SRR5799485	ATAC-seq	ILC3.NKp46miCCR6mi.SI_1	Immgen
SRR5799486	ATAC-seq	ILC3.NKp46miCCR6mi.SI_2	Immgen
SRR5799487	ATAC-seq	ILC3.CCR6pl.SI_1	Immgen
SRR5799488	ATAC-seq	ILC3.CCR6pl.SI_2	Immgen
SRR5799489	ATAC-seq	ILC3.NKp46pl.SI_1	Immgen
SRR5799490	ATAC-seq	ILC3.NKp46pl.SI_2	Immgen
SRR5799491	ATAC-seq	Mo.6CplIImi.Bl_1	Immgen
SRR5799492	ATAC-seq	Mo.6CplIImi.Bl_2	Immgen
SRR5799493	ATAC-seq	Mo.6CmiIImi.Bl_1	Immgen
SRR5799494	ATAC-seq	Mo.6CmiIImi.Bl_2	Immgen
SRR5799495	ATAC-seq	MF.226plIIpl480lo.PC_1	Immgen
SRR5799496	ATAC-seq	MF.226plIIpl480lo.PC_2	Immgen
SRR5799497	ATAC-seq	MF.ICAMpl480hi.PC_1	Immgen
SRR5799498	ATAC-seq	MF.ICAMpl480hi.PC_2	Immgen
SRR5799499	ATAC-seq	MF.RP.Sp_1	Immgen
SRR5799500	ATAC-seq	MF.RP.Sp_2	Immgen
SRR5799501	ATAC-seq	DC.8pl.Sp_1	Immgen
SRR5799502	ATAC-seq	DC.4pl.Sp_1	Immgen
SRR5799503	ATAC-seq	DC.pDC.Sp_1	Immgen
SRR5799504	ATAC-seq	DC.4pl.Sp_2	Immgen
SRR5799505	ATAC-seq	MF.microglia.CNS_1	Immgen
SRR5799506	ATAC-seq	FRC.CD140apl.Madcammi.CD35mi.SLN_1	Immgen
SRR5799507	ATAC-seq	LEC.SLN_1	Immgen
SRR5799508	ATAC-seq	LEC.SLN_2	Immgen
SRR5799509	ATAC-seq	BEC.SLN_1	Immgen
SRR5799510	ATAC-seq	IAP.SLN_1	Immgen
SRR5799511	ATAC-seq	IAP.SLN_2	Immgen
SRR5799512	ATAC-seq	B.T1.Sp_2	Immgen
SRR5799513	ATAC-seq	B.Fo.Sp_2	Immgen
SRR5799514	ATAC-seq	B.T2.Sp_2	Immgen
SRR5799515	ATAC-seq	B.MZ.Sp_2	Immgen
SRR5799516	ATAC-seq	B.T3.Sp_2	Immgen
SRR5799517	ATAC-seq	B1b.PC_2	Immgen
SRR5799518	ATAC-seq	MF.Alv.Lu_1	Immgen
SRR5799519	ATAC-seq	MF.Alv.Lu_2	Immgen
SRR5799520	ATAC-seq	MF.pIC.Alv.Lu_1	Immgen
SRR5799521	ATAC-seq	MF.pIC.Alv.Lu_2	Immgen
SRR5799522	ATAC-seq	MF.LP.SI_1	Immgen
SRR5799523	ATAC-seq	MF.LP.SI_2	Immgen
SRR5799524	ATAC-seq	DC.103pl11bmi.SI_1	Immgen
SRR5799525	ATAC-seq	DC.103pl11bmi.SI_2	Immgen
SRR5799526	ATAC-seq	DC.103pl11bpl.SI_1	Immgen
SRR5799527	ATAC-seq	DC.103pl11bpl.SI_2	Immgen
SRR5799528	ATAC-seq	MPP3.48pl.BM_1	Immgen
SRR5799529	ATAC-seq	MF.PC_2	Immgen
SRR5799530	ATAC-seq	MPP4.135pl.BM_1	Immgen
SRR5799531	ATAC-seq	MF.Fem.PC_1	Immgen
SRR5799532	ATAC-seq	MF.PC_1	Immgen
SRR5799533	ATAC-seq	proB.CLP.BM_1	Immgen
SRR5799534	ATAC-seq	T.4.Nve.Fem.Sp_1	Immgen
SRR5799535	ATAC-seq	T.4.Nve.Fem.Sp_2	Immgen
SRR5799536	ATAC-seq	MF.Fem.PC_2	Immgen
SRR5799537	ATAC-seq	LTHSC.34pl.BM_1	Immgen
SRR5799538	ATAC-seq	LTHSC.34mi.BM_1	Immgen
SRR5799539	ATAC-seq	STHSC.150mi.BM_1	Immgen
SRR5799540	ATAC-seq	MF.microglia.CNS_2	Immgen
SRR5799541	ATAC-seq	Mo.6CplIImi.Bl_3	Immgen
SRR5799542	ATAC-seq	Mo.6CplIImi.Bl_3	Immgen
SRR5799543	ATAC-seq	MF.ICAMpl480hi.PC_3	Immgen
SRR5799544	ATAC-seq	MF.ICAMpl480hi.PC_4	Immgen
SRR5799545	ATAC-seq	preT.DN3.Th_2	Immgen
SRR5799546	ATAC-seq	T.DP.Th_1	Immgen
SRR5799547	ATAC-seq	T.DP.Th_2	Immgen
SRR5799548	ATAC-seq	GN.Thio.PC_2	Immgen
SRR5799549	ATAC-seq	GN.Thio.PC_3	Immgen
SRR5799550	ATAC-seq	FRC.CD140apl.Madcammi.CD35mi.SLN_2	Immgen
SRR5799551	ATAC-seq	DC.8pl.Sp_2	Immgen
SRR5799552	ATAC-seq	BEC.SLN_2	Immgen
SRR5799553	ATAC-seq	DC.pDC.Sp_2	Immgen
SRR5799554	ATAC-seq	Tgd.Sp_2	Immgen
SRR5799555	ATAC-seq	T.8.Nve.Sp_2	Immgen
SRR5799556	ATAC-seq	B.PB.Sp_2	Immgen
SRR5799557	ATAC-seq	B.PC.Sp_2	Immgen
SRR5799558	ATAC-seq	Treg.4.25hi.Sp_1	Immgen
SRR5799559	ATAC-seq	Treg.4.25hi.Sp_2	Immgen
SRR5799560	ATAC-seq	B.Fem.Sp_1	Immgen
SRR5799561	ATAC-seq	B.Fem.Sp_2	Immgen
SRR8186433	ATAC-seq	T.DP.Rorcgammatpl.GFP.Th_1	Immgen
SRR8186434	ATAC-seq	T.DP.Rorcgammatpl.GFP.Th_2	Immgen
SRR8186435	ATAC-seq	T.DP.RorcgammatGFP.GFP.Th_1	Immgen
SRR8186436	ATAC-seq	T.DP.RorcgammatGFP.GFP.Th_2	Immgen
SRR6466906	RNA-Seq	B.Fem.Sp_1	Immgen
SRR6466907	RNA-Seq	B.Fo.Sp_2	Immgen
SRR6466908	RNA-Seq	B.Fo.Sp_3	Immgen
SRR6466909	RNA-Seq	B.Fo.Sp_1	Immgen
SRR6466910	RNA-Seq	B.Fo.Sp_4	Immgen
SRR6466911	RNA-Seq	B.FrE.BM_1	Immgen
SRR6466912	RNA-Seq	B.FrE.BM_2	Immgen
SRR6466913	RNA-Seq	B.GC.CB.Sp_1	Immgen
SRR6466914	RNA-Seq	B.GC.CB.Sp_3	Immgen
SRR6466915	RNA-Seq	B.GC.CB.Sp_2	Immgen
SRR6466916	RNA-Seq	B.GC.CC.Sp_2	Immgen
SRR6466917	RNA-Seq	B.GC.CC.Sp_1	Immgen
SRR6466918	RNA-Seq	B.GC.CC.Sp_3	Immgen
SRR6466919	RNA-Seq	B.mem.Sp_1	Immgen
SRR6466920	RNA-Seq	B.MZ.Sp_1	Immgen
SRR6466921	RNA-Seq	B.MZ.Sp_2	Immgen
SRR6466922	RNA-Seq	B.PB.Sp_1	Immgen
SRR6466923	RNA-Seq	B.PB.Sp_2	Immgen
SRR6466924	RNA-Seq	B.PC.BM_1	Immgen
SRR6466925	RNA-Seq	B.PC.Sp_2	Immgen
SRR6466926	RNA-Seq	B.Sp_4	Immgen
SRR6466927	RNA-Seq	B.T1.Sp_2	Immgen
SRR6466928	RNA-Seq	B.T2.Sp_1	Immgen
SRR6466929	RNA-Seq	B.T2.Sp_2	Immgen
SRR6466930	RNA-Seq	B.T3.Sp_2	Immgen
SRR6466931	RNA-Seq	B1b.PC_2	Immgen
SRR6466932	RNA-Seq	B1b.PC_1	Immgen
SRR6466933	RNA-Seq	BEC.SLN_3	Immgen
SRR6466934	RNA-Seq	BEC.SLN_2	Immgen
SRR6466935	RNA-Seq	BEC.SLN_1	Immgen
SRR6466936	RNA-Seq	DC.4pl.Sp_2	Immgen
SRR6466937	RNA-Seq	DC.4pl.Sp_3	Immgen
SRR6466938	RNA-Seq	DC.4pl.Sp_1	Immgen
SRR6466939	RNA-Seq	DC.8pl.Sp_3	Immgen
SRR6466940	RNA-Seq	DC.8pl.Sp_2	Immgen
SRR6466941	RNA-Seq	DC.8pl.Sp_1	Immgen
SRR6466942	RNA-Seq	DC.pDC.Sp_1	Immgen
SRR6466943	RNA-Seq	DC.pDC.Sp_2	Immgen
SRR6466944	RNA-Seq	Ep.MEChi.Th_2	Immgen
SRR6466945	RNA-Seq	Ep.MEChi.Th_1	Immgen
SRR6466946	RNA-Seq	FRC.CD140apl.Madcammi.CD35mi.SLN_3	Immgen
SRR6466947	RNA-Seq	FRC.CD140apl.Madcammi.CD35mi.SLN_2	Immgen
SRR6466948	RNA-Seq	FRC.CD140apl.Madcammi.CD35mi.SLN_1	Immgen
SRR6466949	RNA-Seq	GN.BM_1	Immgen
SRR6466950	RNA-Seq	GN.BM_2	Immgen
SRR6466951	RNA-Seq	GN.Sp_3	Immgen
SRR6466952	RNA-Seq	GN.Sp_4	Immgen
SRR6466953	RNA-Seq	GN.Thio.PC_1	Immgen
SRR6466954	RNA-Seq	GN.Thio.PC_2	Immgen
SRR6466955	RNA-Seq	IAP.SLN_1	Immgen
SRR6466956	RNA-Seq	IAP.SLN_2	Immgen
SRR6466957	RNA-Seq	ILC2.SI_1	Immgen
SRR6466958	RNA-Seq	ILC2.SI_2	Immgen
SRR6466959	RNA-Seq	ILC2.ST2mi.SI_2	Immgen
SRR6466960	RNA-Seq	ILC2.ST2mi.SI_1	Immgen
SRR6466961	RNA-Seq	ILC3.CCR6pl.SI_1	Immgen
SRR6466962	RNA-Seq	ILC3.CCR6pl.SI_2	Immgen
SRR6466963	RNA-Seq	ILC3.NKp46miCCR6mi.SI_2	Immgen
SRR6466964	RNA-Seq	ILC3.NKp46pl.SI_1	Immgen
SRR6466965	RNA-Seq	ILC3.NKp46pl.SI_2	Immgen
SRR6466966	RNA-Seq	LEC.SLN_2	Immgen
SRR6466967	RNA-Seq	LEC.SLN_3	Immgen
SRR6466968	RNA-Seq	LTHSC.34mi.BM_2	Immgen
SRR6466969	RNA-Seq	LTHSC.34mi.BM_1	Immgen
SRR6466970	RNA-Seq	LTHSC.34pl.BM_1	Immgen
SRR6466971	RNA-Seq	LTHSC.34pl.BM_2	Immgen
SRR6466972	RNA-Seq	MC.heparinase.PC_3	Immgen
SRR6466973	RNA-Seq	MF.Alv.Lu_1	Immgen
SRR6466974	RNA-Seq	MF.Alv.Lu_2	Immgen
SRR6466975	RNA-Seq	MF.Fem.PC_1	Immgen
SRR6466976	RNA-Seq	MF.Fem.PC_2	Immgen
SRR6466977	RNA-Seq	MF.PC_3	Immgen
SRR6466978	RNA-Seq	MF.PC_4	Immgen
SRR6466979	RNA-Seq	MF.pIC.Alv.Lu_2	Immgen
SRR6466980	RNA-Seq	MPP2.150pl48pl.BM_1	Immgen
SRR6466981	RNA-Seq	MPP3.48pl.BM_1	Immgen
SRR6466982	RNA-Seq	MPP3.48pl.BM_2	Immgen
SRR6466983	RNA-Seq	MPP4.135pl.BM_1	Immgen
SRR6466984	RNA-Seq	MPP4.135pl.BM_2	Immgen
SRR6466985	RNA-Seq	NK.27mi11bpl.BM_1	Immgen
SRR6466986	RNA-Seq	NK.27mi11bpl.BM_2	Immgen
SRR6466987	RNA-Seq	NK.27mi11bpl.Sp_2	Immgen
SRR6466988	RNA-Seq	NK.27pl11bmi.BM_1	Immgen
SRR6466989	RNA-Seq	NK.27pl11bmi.BM_2	Immgen
SRR6466990	RNA-Seq	NK.27pl11bmi.Sp_1	Immgen
SRR6466991	RNA-Seq	NK.27pl11bmi.Sp_2	Immgen
SRR6466992	RNA-Seq	NK.27pl11bpl.BM_1	Immgen
SRR6466993	RNA-Seq	NK.27pl11bpl.BM_2	Immgen
SRR6466994	RNA-Seq	NK.27pl11bpl.Sp_1	Immgen
SRR6466995	RNA-Seq	NK.27pl11bpl.Sp_2	Immgen
SRR6466996	RNA-Seq	NKT.Sp_3	Immgen
SRR6466997	RNA-Seq	NKT.LPS.18hr.Sp_1	Immgen
SRR6466998	RNA-Seq	NKT.LPS.18hr.Sp_2	Immgen
SRR6466999	RNA-Seq	NKT.LPS.3d.Sp_2	Immgen
SRR6467000	RNA-Seq	NKT.LPS.3hr.Sp_1	Immgen
SRR6467001	RNA-Seq	NKT.LPS.3hr.Sp_2	Immgen
SRR6467002	RNA-Seq	preT.DN1.Th_1	Immgen
SRR6467003	RNA-Seq	preT.DN1.Th_2	Immgen
SRR6467004	RNA-Seq	preT.DN2a.Th_2	Immgen
SRR6467005	RNA-Seq	preT.DN2b.Th_1	Immgen
SRR6467006	RNA-Seq	preT.DN2b.Th_2	Immgen
SRR6467007	RNA-Seq	preT.DN3.Th_1	Immgen
SRR6467008	RNA-Seq	preT.DN3.Th_1	Immgen
SRR6467009	RNA-Seq	proB.CLP.BM_1	Immgen
SRR6467010	RNA-Seq	proB.CLP.BM_2	Immgen
SRR6467011	RNA-Seq	proB.FrA.BM_1	Immgen
SRR6467012	RNA-Seq	proB.FrA.BM_2	Immgen
SRR6467013	RNA-Seq	proB.FrBC.BM_1	Immgen
SRR6467014	RNA-Seq	proB.FrBC.BM_2	Immgen
SRR6467015	RNA-Seq	STHSC.150mi.BM_1	Immgen
SRR6467016	RNA-Seq	STHSC.150mi.BM_2	Immgen
SRR6467017	RNA-Seq	T.4.Nve.Fem.Sp_1	Immgen
SRR6467018	RNA-Seq	T.4.Nve.Fem.Sp_2	Immgen
SRR6467019	RNA-Seq	T.4.Nve.Sp_1	Immgen
SRR6467020	RNA-Seq	T.4.Nve.Sp_2	Immgen
SRR6467021	RNA-Seq	T.4.aCD3plCD40.18h.Sp_1	Immgen
SRR6467022	RNA-Seq	T.4.aCD3plCD40.18h.Sp_2	Immgen
SRR6467023	RNA-Seq	T.4.Th_1	Immgen
SRR6467024	RNA-Seq	T.4.Th_2	Immgen
SRR6467025	RNA-Seq	T.8.Nve.Sp_1	Immgen
SRR6467026	RNA-Seq	T.8.Nve.Sp_2	Immgen
SRR6467027	RNA-Seq	T.8.Th_1	Immgen
SRR6467028	RNA-Seq	T.8.Th_2	Immgen
SRR6467029	RNA-Seq	T.DN4.Th_1	Immgen
SRR6467030	RNA-Seq	T.DN4.Th_2	Immgen
SRR6467031	RNA-Seq	T.DP.Th_1	Immgen
SRR6467032	RNA-Seq	T.DP.Th_2	Immgen
SRR6467033	RNA-Seq	T.ISP.Th_1	Immgen
SRR6467034	RNA-Seq	T.ISP.Th_2	Immgen
SRR6467035	RNA-Seq	T8.IEL.LCMV.d7.SI_1	Immgen
SRR6467036	RNA-Seq	T8.IEL.LCMV.d7.SI_2	Immgen
SRR6467037	RNA-Seq	T8.MP.LCMV.d7.Sp_1	Immgen
SRR6467038	RNA-Seq	T8.MP.LCMV.d7.Sp_2	Immgen
SRR6467039	RNA-Seq	T8.Tcm.LCMV.d180.Sp_1	Immgen
SRR6467040	RNA-Seq	T8.Tcm.LCMV.d180.Sp_2	Immgen
SRR6467041	RNA-Seq	T8.TE.LCMV.d7.Sp_1	Immgen
SRR6467042	RNA-Seq	T8.TE.LCMV.d7.Sp_2	Immgen
SRR6467043	RNA-Seq	T8.Tem.LCMV.d180.Sp_2	Immgen
SRR6467044	RNA-Seq	T8.TN.P14.Sp_1	Immgen
SRR6467045	RNA-Seq	T8.TN.P14.Sp_2	Immgen
SRR6467046	RNA-Seq	Tgd.g1.1pld1.24apl.Th_1	Immgen
SRR6467047	RNA-Seq	Tgd.g1.1pld1.24apl.Th_2	Immgen
SRR6467048	RNA-Seq	Tgd.g1.1pld1.LN_1	Immgen
SRR6467049	RNA-Seq	Tgd.g1.1pld1.LN_2	Immgen
SRR6467050	RNA-Seq	Tgd.g2pld1.24apl.Th_1	Immgen
SRR6467051	RNA-Seq	Tgd.g2pld1.24apl.Th_2	Immgen
SRR6467052	RNA-Seq	Tgd.g2pld1.LN_1	Immgen
SRR6467053	RNA-Seq	Tgd.g2pld1.LN_2	Immgen
SRR6467054	RNA-Seq	Tgd.g2pld17.24apl.Th_2	Immgen
SRR6467055	RNA-Seq	Tgd.g2pld17.LN_1	Immgen
SRR6467056	RNA-Seq	Tgd.g2pld17.LN_2	Immgen
SRR6467057	RNA-Seq	Tgd.Sp_3	Immgen
SRR6467058	RNA-Seq	Tgd.Sp_4	Immgen
SRR6467059	RNA-Seq	Treg.4.25hi.Sp_1	Immgen
SRR6467060	RNA-Seq	Treg.4.25hi.Sp_2	Immgen
SRR6467061	RNA-Seq	Treg.4.FP3pl.Nrplo.Co_1	Immgen
SRR6467062	RNA-Seq	Treg.4.FP3pl.Nrplo.Co_2	Immgen
SRR10691505	RNA-Seq	NKT.19mi8miTCRbplCD1daGalCerTetpl.Sp_1	Immgen
SRR10691510	RNA-Seq	NKT.19mi8miTCRbplCD1daGalCerTetpl.Th_3	Immgen
SRR10691511	RNA-Seq	NKT.19mi8miTCRbplCD1daGalCerTetpl.Lv_1	Immgen
SRR10691512	RNA-Seq	NKT.19mi8miTCRbplCD1daGalCerTetpl.Lv_2	Immgen
SRR10691513	RNA-Seq	NKT.19mi8miTCRbplCD1daGalCerTetpl.Lv_3	Immgen
SRR10691514	RNA-Seq	T.4.19mi8miTCRbplCD4pl.Sp_1	Immgen
SRR10691515	RNA-Seq	T.4.19mi8miTCRbplCD4pl.Sp_2	Immgen
SRR10060948	RNA-Seq	MF.226plIIpl480lo.PC_1	Immgen
SRR10060949	RNA-Seq	MF.226plIIpl480lo.PC_2	Immgen
SRR10060950	RNA-Seq	MF.microglia.CNS_1	Immgen
SRR10060951	RNA-Seq	MF.microglia.CNS_2	Immgen
SRR10060952	RNA-Seq	MF.RP.Sp_1	Immgen
SRR10060953	RNA-Seq	MF.RP.Sp_2	Immgen
SRR10060954	RNA-Seq	MF.AT_1	Immgen
SRR10060955	RNA-Seq	MF.AT_2	Immgen
SRR10060956	RNA-Seq	MF.PC_1	Immgen
SRR10060957	RNA-Seq	MF.PC_2	Immgen
SRR10060958	RNA-Seq	Mo.6CmiIImi.Bl_1	Immgen
SRR10060959	RNA-Seq	Mo.6CmiIImi.Bl_2	Immgen
SRR10060960	RNA-Seq	Mo.6CplIImi.Bl_1	Immgen
SRR10060961	RNA-Seq	Mo.6CplIImi.Bl_2	Immgen
SRR10060962	RNA-Seq	Eo.PC_1	Immgen
SRR10060963	RNA-Seq	Eo.PC_2	Immgen
SRR10060964	RNA-Seq	Eo.Sp_2	Immgen
SRR10060965	RNA-Seq	Eo.Sp_3	Immgen
SRR10060966	RNA-Seq	Ba.Sp_1	Immgen
SRR10060967	RNA-Seq	Ba.Sp_2	Immgen
SRR10060968	RNA-Seq	Ba.Sp_3	Immgen
SRR10060969	RNA-Seq	MC.Ht_1	Immgen
SRR10060970	RNA-Seq	MC.Ht_2	Immgen
SRR10060971	RNA-Seq	MC.SCA1hi.CX3CR1hi.PC_1	Immgen
SRR10060972	RNA-Seq	MC.SCA1hi.CX3CR1hi.PC_2	Immgen
SRR10060973	RNA-Seq	MC.SCA1hi.CX3CR1hi.PC_3	Immgen
SRR10060974	RNA-Seq	MC.SCA1hi.CX3CR1lo.PC_1	Immgen
SRR10060975	RNA-Seq	MC.SCA1hi.CX3CR1lo.PC_2	Immgen
SRR10060976	RNA-Seq	MC.SCA1hi.CX3CR1lo.PC_3	Immgen
SRR10060977	RNA-Seq	MC.SCA1lo.CX3CR1hi.PC_1	Immgen
SRR10060978	RNA-Seq	MC.SCA1lo.CX3CR1hi.PC_2	Immgen
SRR10060979	RNA-Seq	MC.SCA1lo.CX3CR1hi.PC_3	Immgen
SRR10060980	RNA-Seq	MC.SCA1lo.CX3CR1lo.PC_1	Immgen
SRR10060981	RNA-Seq	MC.SCA1lo.CX3CR1lo.PC_2	Immgen
SRR10060982	RNA-Seq	MC.SCA1lo.CX3CR1lo.PC_3	Immgen
SRR10691503	RNA-Seq	NKT.19mi8miTCRbplCD1daGalCerTetpl.Lu_1	Immgen
SRR10691504	RNA-Seq	NKT.19mi8miTCRbplCD1daGalCerTetpl.Lu_2	Immgen
SRR10691506	RNA-Seq	NKT.19mi8miTCRbplCD1daGalCerTetpl.Sp_1	Immgen
SRR10691507	RNA-Seq	NKT.19mi8miTCRbplCD1daGalCerTetpl.Sp_2	Immgen
SRR10691508	RNA-Seq	NKT.19mi8miTCRbplCD1daGalCerTetpl.Th_1	Immgen
SRR10691509	RNA-Seq	NKT.19mi8miTCRbplCD1daGalCerTetpl.Th_2	Immgen
SRR26338394	RNA-Seq	MC.M.To_1	Immgen
SRR26338395	RNA-Seq	MC.M.To_2	Immgen
SRR26338396	RNA-Seq	MC.M.To_3	Immgen
SRR26338397	RNA-Seq	MC.F.To_1	Immgen
SRR26338398	RNA-Seq	MC.F.To_2	Immgen
SRR26338399	RNA-Seq	MC.F.To_3	Immgen
SRR26338400	RNA-Seq	MC.M.Sk_1	Immgen
